id,Source,Plasmids,Pseudo-temperate Prophage,licD homolog,Vancomycin,Ampicillin,APTC-Efa10,APTC-Efa16,APTC-Efa20,ARGs,DefenseFinder Systems
ATCC-700802,Host,3,Absent,Full,Resistant,Sensitive,1,1,1,11,7
CI-1049,CRS,5,Absent,Full,Resistant,Resistant,0.5,0.5,0.5,7,8
CI-1104,CRS,2,Present,Truncated,Resistant,Resistant,0.3,0.1,0.1,4,7
CI-8010,CRS,2,Present,Full,Resistant,Resistant,1,0.9,1,8,6
CI-8050,CRS,2,Absent,Full,Resistant,Resistant,1,0.9,0.9,2,4
DFI-250,DFI,1,Present,Full,Resistant,Resistant,1,0.7,0.5,3,6
DFI-266,DFI,2,Present,Full,Resistant,Resistant,1,0.8,0.5,8,6
EF-W12,Wastewater,1,Absent,No,Resistant,Resistant,0.1,0.01,0.01,7,11
EF-W2,Wastewater,1,Present,Truncated,Resistant,Resistant,0,0.1,0.3,3,7
EF-W3,Wastewater,0,Absent,No,Resistant,Resistant,0,0.6,0.2,7,11
EF-W4,Wastewater,0,Absent,No,Resistant,Resistant,0,0.1,0.01,7,11
EF-W5,Wastewater,0,Absent,No,Resistant,Resistant,0,0.1,0.1,7,11
EF-W6,Wastewater,0,Absent,No,Sensitive,Sensitive,0.5,0,0,3,6
EF-W8,Wastewater,0,Absent,Truncated,Resistant,Resistant,0,0.1,0.02,3,6
