ID	DS-8	Gabija	AbiJ	RosmerTA	SpbK	CAS_Class2-Subtype-II-A	Hna	AbiI	AbiU	Mokosh_Type_I_B	RM_Type_I	CBASS_I	HEC-05	Tha	MazEF	Dodola	AbiD	RM_Type_II	Hachiman	Lamassu-Cap4_nuclease	RM_Type_IIG	PD-T4-9	SanaTA	Nhi
CI-1049	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CI-1104	1	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CI-8010	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
CI-8050	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DFI-250	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0
DFI-266	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
EF-W12	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1
EF-W2	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EF-W3	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1
EF-W4	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1
EF-W5	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1
EF-W6	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
EF-W8	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
