Description	Count	Contig
CDS	244	Ef-P16-208
connector	0	Ef-P16-208
DNA, RNA and nucleotide metabolism	34	Ef-P16-208
head and packaging	18	Ef-P16-208
integration and excision	0	Ef-P16-208
lysis	2	Ef-P16-208
moron, auxiliary metabolic gene and host takeover	9	Ef-P16-208
other	12	Ef-P16-208
tail	13	Ef-P16-208
transcription regulation	3	Ef-P16-208
unknown function	153	Ef-P16-208
VFDB_Virulence_Factors	0	Ef-P16-208
CARD_AMR	0	Ef-P16-208
ACR_anti_crispr	0	Ef-P16-208
Defensefinder	1	Ef-P16-208
Netflax	0	Ef-P16-208
