# Annotated with Bakta
# Software: v1.9.4
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	1344	+	HCJMML_00005	dnaA	chromosomal replication initiator protein DnaA	COG:COG0593, COG:L, GO:0003677, GO:0003688, GO:0005524, GO:0005737, GO:0006270, GO:0006275, GO:0016887, KEGG:K02313, SO:0001217, UniRef:UniRef50_Q890K8, UniRef:UniRef90_Q839Z5
contig_1	oriC	1345	1545	?			origin of replication	
contig_1	cds	1546	2676	+	HCJMML_00010	dnaN	DNA polymerase III subunit beta	COG:COG0592, COG:L, EC:2.7.7.7, GO:0003887, GO:0006260, GO:0009360, KEGG:K02338, RefSeq:WP_002356014.1, SO:0001217, UniParc:UPI000005BC7D, UniRef:UniRef100_A0A640NCH5, UniRef:UniRef50_C2FB33, UniRef:UniRef90_A0A640NCH5
contig_1	cds	3256	3501	+	HCJMML_00015	yaaA	Ribosome-associated protein YbcJ, S4-like RNA-binding protein	COG:COG2501, COG:J, RefSeq:WP_002356015.1, SO:0001217, UniParc:UPI000005BC7E, UniRef:UniRef100_A0A640NCP0, UniRef:UniRef50_E6LEK5, UniRef:UniRef90_A0A1L5KG86
contig_1	cds	3488	4615	+	HCJMML_00020	recF	DNA replication/repair protein RecF	COG:COG1195, COG:L, GO:0003697, GO:0005524, GO:0005737, GO:0006260, GO:0006281, GO:0009432, RefSeq:WP_002356016.1, SO:0001217, UniParc:UPI000005BC7F, UniRef:UniRef100_Q839Z2, UniRef:UniRef50_Q8DRR3, UniRef:UniRef90_Q839Z2
contig_1	cds	4612	6561	+	HCJMML_00025	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	COG:COG0187, COG:L, EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0005737, GO:0006261, GO:0006265, GO:0009330, GO:0046872, RefSeq:WP_002359210.1, SO:0001217, UniParc:UPI00000B6D43, UniRef:UniRef100_Q839Z1, UniRef:UniRef50_Q839Z1, UniRef:UniRef90_Q839Z1
contig_1	cds	6617	9118	+	HCJMML_00030	gyrA	DNA gyrase subunit A	EC:5.6.2.2, GO:0003677, GO:0003916, GO:0003918, GO:0005524, GO:0006259, GO:0006265, RefSeq:WP_002370593.1, SO:0001217, UniParc:UPI0001B2BF83, UniRef:UniRef100_R3HBZ9, UniRef:UniRef50_Q2FKQ0, UniRef:UniRef90_A0A242CDZ9
contig_1	cds	9293	9595	+	HCJMML_00035	rpsF	30S ribosomal protein S6	COG:COG0360, COG:J, GO:0000314, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:0022627, GO:1990904, RefSeq:WP_002356019.1, SO:0001217, UniParc:UPI000005BC82, UniRef:UniRef100_Q839Z0, UniRef:UniRef50_Q839Z0, UniRef:UniRef90_Q839Z0
contig_1	cds	9640	10206	+	HCJMML_00040	ssb	Single-stranded DNA-binding protein	COG:COG0629, COG:L, GO:0003697, GO:0006260, GO:0006281, GO:0006310, RefSeq:WP_002364599.1, SO:0001217, UniParc:UPI000175BF93, UniRef:UniRef100_A0A1B4XKB5, UniRef:UniRef50_Q839Y9, UniRef:UniRef90_Q839Y9
contig_1	cds	10232	10471	+	HCJMML_00045	rpsR	30S ribosomal protein S18	COG:COG0238, COG:J, GO:0000314, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:0022627, GO:1990904, KEGG:K02963, RefSeq:WP_002356021.1, SO:0001217, UniParc:UPI000005BC84, UniRef:UniRef100_Q839Y8, UniRef:UniRef50_Q839Y8, UniRef:UniRef90_Q839Y8
contig_1	cds	10586	11926	-	HCJMML_00050		ISL3 family transposase	GO:0004803, RefSeq:WP_002383927.1, SO:0001217, UniParc:UPI00019C7091, UniRef:UniRef100_A0A7H0FLZ6, UniRef:UniRef50_R2QXM9, UniRef:UniRef90_R2R7M7
contig_1	cds	12218	14194	+	HCJMML_00055	yybT_I440S	cyclic dinucleotide phosphodiesterase YybT	COG:COG3887, COG:T, RefSeq:WP_002356022.1, SO:0001217, UniParc:UPI000005BC85, UniRef:UniRef100_A0A7H0FP36, UniRef:UniRef50_A0A377KI28, UniRef:UniRef90_S4DL11
contig_1	cds	14200	14652	+	HCJMML_00060	rplI	50S ribosomal protein L9	COG:COG0359, COG:J, GO:0000311, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:0022625, GO:1990904, RefSeq:WP_002356023.1, SO:0001217, UniParc:UPI000005BC86, UniRef:UniRef100_Q839Y6, UniRef:UniRef50_B9DPY3, UniRef:UniRef90_Q839Y6
contig_1	cds	14925	16292	+	HCJMML_00065	dnaB	replicative DNA helicase	COG:COG0305, COG:L, EC:3.6.4.12, GO:0003677, GO:0003678, GO:0005524, GO:0006260, RefSeq:WP_002381331.1, SO:0001217, UniParc:UPI000005BC87, UniRef:UniRef100_S4CEI2, UniRef:UniRef50_A0A0G9GJB4, UniRef:UniRef90_E2YU58
contig_1	cds	16529	17821	+	HCJMML_00070	purA	adenylosuccinate synthase	COG:COG0104, COG:F, EC:6.3.4.4, GO:0000287, GO:0004019, GO:0005525, GO:0005737, GO:0006164, GO:0044208, RefSeq:WP_002376293.1, SO:0001217, UniParc:UPI0001B2E6EB, UniRef:UniRef100_A0A640NCL9, UniRef:UniRef50_P29726, UniRef:UniRef90_Q839Y4
contig_1	cds	17946	18815	+	HCJMML_00075	degV	Fatty acid-binding protein DegV (function unknown)	COG:COG1307, COG:I, RefSeq:WP_002359214.1, SO:0001217, UniParc:UPI000005BC89, UniRef:UniRef100_A0A640NCQ0, UniRef:UniRef50_A0A242LIJ5, UniRef:UniRef90_A0A640NCQ0
contig_1	cds	19054	20685	-	HCJMML_00080	uup	ATPase components of ABC transporters with duplicated ATPase domains	COG:COG0488, COG:R, RefSeq:WP_002359215.1, SO:0001217, UniParc:UPI000005BC8A, UniRef:UniRef100_A0A1B4XKC3, UniRef:UniRef50_O31716, UniRef:UniRef90_A0A1G1SFE1
contig_1	cds	20939	23824	+	HCJMML_00085	levR	Transcriptional regulatory protein LevR, contains PRD, AAA+ and EIIA domains	COG:COG3933, COG:K, RefSeq:WP_002419447.1, SO:0001217, UniParc:UPI00027C6ED6, UniRef:UniRef100_UPI00027C6ED6, UniRef:UniRef50_A0A3D1J8Z8, UniRef:UniRef90_R3KTZ5
contig_1	cds	24027	24539	+	HCJMML_00090	agaB	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB	COG:COG3444, COG:G, RefSeq:WP_002383516.1, SO:0001217, UniParc:UPI00019C74D5, UniRef:UniRef100_A0A7H0FP43, UniRef:UniRef50_F4BLT2, UniRef:UniRef90_E2YU65
contig_1	cds	24615	25766	+	HCJMML_00095	agaB	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB	COG:COG3444, COG:G, EC:2.7.1.191, KEGG:K02794, SO:0001217, UniRef:UniRef50_Q5XAF5, UniRef:UniRef90_S4CAU7
contig_1	cds	25801	26604	+	HCJMML_00100	manY	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific IIC component	COG:COG3715, COG:G, RefSeq:WP_002356031.1, SO:0001217, UniParc:UPI000005BC8E, UniRef:UniRef100_A0A9P2K5G0, UniRef:UniRef50_A0A158SMB5, UniRef:UniRef90_F4BMB1
contig_1	cds	26627	27538	+	HCJMML_00105	manZ	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific IID component	COG:COG3716, COG:G, RefSeq:WP_002356032.1, SO:0001217, UniParc:UPI000005BC8F, UniRef:UniRef100_A0A640NCM5, UniRef:UniRef50_A0A0F2CKH3, UniRef:UniRef90_A0A449E4Z2
contig_1	cds	27815	28192	+	HCJMML_00110		DUF956 domain-containing protein	COG:COG4687, COG:S, RefSeq:WP_002356033.1, SO:0001217, UniParc:UPI000005BC90, UniRef:UniRef100_A0A640NCL2, UniRef:UniRef50_A0A0D0G8L0, UniRef:UniRef90_S4FBS9
