#Annotated with Bakta v1.9.4, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	80590	80769	+	HCJMML_00355	6.9	4.6		RefSeq:WP_002381345.1, SO:0001217, UniParc:UPI000005BCC6, UniRef:UniRef100_A0A640NC82, UniRef:UniRef50_A0A640NC82, UniRef:UniRef90_A0A640NC82
contig_1	93191	93541	+	HCJMML_00385	13.6	6.1		
contig_1	105281	105430	+	HCJMML_00440	5.7	9.7		RefSeq:WP_002367605.1, SO:0001217, UniParc:UPI00019C7188, UniRef:UniRef100_A0A7H0FPA7, UniRef:UniRef50_A0A1L8WQ44, UniRef:UniRef90_A0A7H0FPA7
contig_1	106668	107300	+	HCJMML_00455	24.9	9.4		RefSeq:WP_010714982.1, SO:0001217, UniParc:UPI0002DF585A, UniRef:UniRef100_UPI0002DF585A, UniRef:UniRef50_UPI001EE9A3E8, UniRef:UniRef90_UPI001EE9A3E8
contig_1	121910	122071	+	HCJMML_00520	5.8	6.8		
contig_1	127856	128038	-	HCJMML_00555	6.9	9.6		RefSeq:WP_002359286.1, SO:0001217, UniParc:UPI000005BCF0, UniRef:UniRef100_Q839N3, UniRef:UniRef50_Q839N3, UniRef:UniRef90_Q839N3
contig_1	128205	128456	+	HCJMML_00560	10.0	9.8		RefSeq:WP_002359287.1, SO:0001217, UniParc:UPI000005BCF1, UniRef:UniRef100_A0A4U4KYU3, UniRef:UniRef50_Q831G7, UniRef:UniRef90_Q831G7
contig_1	129426	129650	+	HCJMML_00575	8.8	8.0		RefSeq:WP_002359290.1, SO:0001217, UniParc:UPI000005BCF4, UniRef:UniRef100_Q839M9, UniRef:UniRef50_Q831H0, UniRef:UniRef90_Q831H0
contig_1	129679	129870	+	HCJMML_00580	7.5	9.8		RefSeq:WP_010773668.1, SO:0001217, UniParc:UPI0002F2A61D, UniRef:UniRef100_Q839M8, UniRef:UniRef50_Q839M8, UniRef:UniRef90_Q839M8
contig_1	129852	130256	+	HCJMML_00585	16.0	4.8		RefSeq:WP_002359292.1, SO:0001217, UniParc:UPI000005BCF6, UniRef:UniRef100_Q839M7, UniRef:UniRef50_Q839M7, UniRef:UniRef90_Q839M7
contig_1	132625	133158	+	HCJMML_00605	21.4	6.7		RefSeq:WP_002359296.1, SO:0001217, UniParc:UPI000005BCFA, UniRef:UniRef100_A0A4U4C7W9, UniRef:UniRef50_A0A4U4C7W9, UniRef:UniRef90_A0A4U4C7W9
contig_1	144702	145256	+	HCJMML_00655	22.4	7.7		RefSeq:WP_002359309.1, SO:0001217, UniParc:UPI000005BD04, UniRef:UniRef100_Q839L4, UniRef:UniRef50_Q839L4, UniRef:UniRef90_Q839L4
