Protein id	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
GHDJDA_11810	vanX-B	D-Ala-D-Ala dipeptidase VanX-B	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	BLASTP	202	202	100.00	99.50	202	WP_063856770.1	D-Ala-D-Ala dipeptidase VanX-B	NF033115.1	D-Ala-D-Ala dipeptidase VanX
GHDJDA_11815	vanB	D-alanine--(R)-lactate ligase VanB	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	BLASTP	342	342	100.00	97.37	342	WP_063856580.1	D-alanine--(R)-lactate ligase VanB	NF012216.1	D-alanine--(R)-lactate ligase VanB
GHDJDA_11820	vanH-B	D-lactate dehydrogenase VanH-B	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	BLASTP	323	323	100.00	99.38	323	WP_099156040.1	D-lactate dehydrogenase VanH-B	NF000492.1	D-lactate dehydrogenase VanH
GHDJDA_11825	vanW-B	glycopeptide resistance accessory protein VanW-B	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	PARTIALP	146	275	53.09	100.00	146	WP_002368694.1	glycopeptide resistance accessory protein VanW-B	NA	NA
GHDJDA_11835	vanY-B	D-Ala-D-Ala carboxypeptidase VanY-B	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	268	268	100.00	100.00	268	WP_002368695.1	D-Ala-D-Ala carboxypeptidase VanY-B	NF000473.1	VanY-B/VanY-G family D-Ala-D-Ala carboxypeptidase
GHDJDA_11840	vanS-B	vancomycin resistance histidine kinase VanS-B	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	447	447	100.00	100.00	447	WP_002368696.1	vancomycin resistance histidine kinase VanS-B	NF033090.1	vancomycin resistance histidine kinase VanS-B
GHDJDA_11845	vanR-B	vancomycin resistance response regulator transcription factor VanR-B	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	220	220	100.00	100.00	220	WP_002368697.1	vancomycin resistance response regulator transcription factor VanR-B	NF000402.1	vancomycin resistance response regulator transcription factor VanR-B
GHDJDA_13850	lsa(A)	ABC-F type ribosomal protection protein Lsa(A)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	EXACTP	498	498	100.00	100.00	498	WP_002387187.1	ABC-F type ribosomal protection protein Lsa(A)	NF000167.2	Lsa family ABC-F type ribosomal protection protein
GHDJDA_17045	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTP	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NF012220.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
GHDJDA_17060	qacZ	quaternary ammonium compound efflux SMR transporter QacH	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTP	107	107	100.00	100.00	107	WP_010730188.1	quaternary ammonium compound efflux SMR transporter QacH	NF000279.1	quaternary ammonium compound efflux SMR transporter QacH
GHDJDA_17310	aac(6')-Ie/aph(2'')-Ia	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	479	479	100.00	100.00	479	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	NF000508.1	aminoglycoside O-phosphotransferase APH(2'')-Ia
