sequence_id	length	coordinates	circular	description	order	group	initial_order
Ef-P20-208	138438	1:138438:1	1	.	0	1	2
Ef-P10-208	143456	1:143456:1	1	.	1	1	0
Ef-P16-208	145038	1:145038:1	1	.	2	1	1
