hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
chromosome0001_32	chromosome0001	32	299	WYL_I_II_III_IV_V_VI_4	3.7000000000000004e-26	89.9	0.983	0.555	126	291
chromosome0001_32	chromosome0001	32	299	WYL_I_II_III_IV_V_VI_1	8.2e-43	144.7	0.942	0.99	2	297
chromosome0001_50	chromosome0001	50	290	DEDDh_I_II_III_IV_V_VI_1	1.2e-32	110.9	1.0	0.528	9	161
chromosome0001_120	chromosome0001	120	151	AbiN__AbiN	2.2e-38	129.1	0.792	0.954	2	145
chromosome0001_364	chromosome0001	364	382	Dnd__DndA	3.1e-102	339.9	0.979	0.963	2	369
chromosome0001_628	chromosome0001	628	482	DISARM__drmC	2.7e-17	60.8	0.747	0.394	258	447
chromosome0001_701	chromosome0001	701	747	Dodola__DolB	3.2999999999999996e-23	80.0	0.528	0.277	387	593
chromosome0001_714	chromosome0001	714	753	Gabija__GajB_3	6.5e-17	59.4	0.663	0.381	27	313
chromosome0001_714	chromosome0001	714	753	Gabija__GajB_1	7.899999999999999e-41	138.0	0.921	0.807	15	622
chromosome0001_714	chromosome0001	714	753	UG35__UvrD	1.0000000000000001e-102	342.3	0.53	0.575	11	443
chromosome0001_714	chromosome0001	714	753	Gabija__GajB_2	1.6e-112	374.6	0.774	0.875	4	662
chromosome0001_815	chromosome0001	815	114	MazEF__MazF	2.1e-09	34.9	0.919	0.947	4	111
chromosome0001_837	chromosome0001	837	126	MazEF__MazF	1e-07	29.5	0.694	0.659	4	86
chromosome0001_864	chromosome0001	864	890	UG9__DNA_pol	4.4999999999999996e-37	125.7	0.754	0.465	464	877
chromosome0001_920	chromosome0001	920	733	Gabija__GajB_3	4.3e-10	37.0	0.593	0.299	497	715
chromosome0001_921	chromosome0001	921	257	Gao_Qat__QatD	3.3e-14	50.4	0.941	0.965	4	251
chromosome0001_1096	chromosome0001	1096	1265	Gabija__GajB_2	1.3e-58	196.6	0.749	0.738	13	946
chromosome0001_1321	chromosome0001	1321	378	CBASS__AG_E1_ThiF	1.9999999999999997e-51	172.3	0.926	0.624	118	353
chromosome0001_1425	chromosome0001	1425	708	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.3e-10	38.6	0.802	0.836	3	594
chromosome0001_1447	chromosome0001	1447	423	RM_Type_II__Type_II_MTases_FAM_8	6.7e-11	39.5	0.539	0.34	269	412
chromosome0001_1447	chromosome0001	1447	423	RM_Type_II__Type_II_MTases_FAM_26	3.6e-11	40.2	0.778	0.636	145	413
chromosome0001_1447	chromosome0001	1447	423	RM_Type_II__Type_II_MTases_FAM_1	1.1999999999999999e-41	140.6	0.901	0.582	169	414
chromosome0001_1447	chromosome0001	1447	423	RM_Type_II__Type_II_MTases_FAM_3	1.1e-45	153.8	0.877	0.541	186	414
chromosome0001_1481	chromosome0001	1481	101	PD-T4-10__PD-T4-10_A	3.3e-05	21.4	0.545	0.733	16	89
chromosome0001_1512	chromosome0001	1512	629	UG6__DnaG	1.8e-37	126.7	0.846	0.483	34	337
chromosome0001_1535	chromosome0001	1535	479	PsyrTA__PsyrT	5.9e-95	316.5	0.682	0.919	4	443
chromosome0001_1599	chromosome0001	1599	487	DISARM__drmC	1.9e-11	41.7	0.547	0.285	322	460
chromosome0001_1641	chromosome0001	1641	288	PsyrTA__PsyrA	1.9e-34	116.9	0.543	0.743	65	278
chromosome0001_1641	chromosome0001	1641	288	ShosTA__ShosA	1.6000000000000002e-65	218.8	0.894	0.938	13	282
chromosome0001_1657	chromosome0001	1657	143	Lamassu-Fam__LmuC_acc_Lipase	1.5e-05	22.2	0.47	0.573	59	140
chromosome0001_1752	chromosome0001	1752	188	ShosTA__ShosT	0.00092	16.6	0.485	0.691	46	175
chromosome0001_1869	chromosome0001	1869	277	AbiJ__AbiJ	3.9e-27	93.0	0.47	0.523	124	268
chromosome0001_1879	chromosome0001	1879	405	RT_I_II_III_IV_V_VI_1	2.8999999999999998e-52	175.0	0.714	0.523	57	268
chromosome0001_1941	chromosome0001	1941	275	Thoeris__ThsB_Global	3.5e-11	40.9	0.751	0.625	3	174
chromosome0001_1941	chromosome0001	1941	275	SpbK__SpbK	5.3e-48	161.9	0.45	0.615	3	171
chromosome0001_2055	chromosome0001	2055	375	SspBCDE__SspD	1.2e-05	22.5	0.433	0.355	5	137
chromosome0001_2056	chromosome0001	2056	519	Dnd__DndA	3.9e-109	362.7	0.963	0.697	4	365
chromosome0001_2067	chromosome0001	2067	323	Abi2__Abi_2	9.2e-40	134.5	0.989	0.601	30	223
