hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
FNCLAJ_00165	EF-W8	33	311	WYL_I_II_III_IV_V_VI_4	1e-26	91.5	0.983	0.534	139	304
FNCLAJ_00165	EF-W8	33	311	WYL_I_II_III_IV_V_VI_1	3.1e-47	159.0	0.987	0.997	1	310
FNCLAJ_00595	EF-W8	119	516	DS-8__DS-8	1.8e-142	473.5	0.49	0.996	2	515
FNCLAJ_00605	EF-W8	121	476	DS-8__DS-8	1.1e-126	421.2	0.447	0.998	1	475
FNCLAJ_01455	EF-W8	263	381	Dnd__DndA	3.7000000000000005e-102	339.5	0.976	0.963	2	368
FNCLAJ_02295	EF-W8	430	1014	RM__Type_I_REases_FAM_0.einsi_trimmed	1.9999999999999997e-68	229.0	0.661	0.706	115	830
FNCLAJ_02295	EF-W8	430	1014	RM__Type_I_REases_FAM_1.einsi_trimmed	0.0	1102.1	0.979	0.974	2	989
FNCLAJ_02635	EF-W8	498	481	DISARM__drmC	2.2e-17	60.8	0.747	0.395	258	447
FNCLAJ_02850	EF-W8	539	1337	cas9_II-C_4	4.6e-82	274.0	0.961	0.996	2	1332
FNCLAJ_02850	EF-W8	539	1337	cas9_II-A_1	1.6e-276	918.2	0.841	0.862	2	1154
FNCLAJ_02850	EF-W8	539	1337	cas9_II-A_II-B_II-C_1	3.7999999999999995e-279	926.0	0.999	0.78	4	1046
FNCLAJ_02850	EF-W8	539	1337	cas9_II-A_II-B_II-C_3	0.0	1102.3	0.998	0.999	1	1335
FNCLAJ_02855	EF-W8	540	288	cas1_I_II_III_IV_V_VI_2	1.7e-23	80.6	0.946	0.781	7	231
FNCLAJ_02855	EF-W8	540	288	cas1_I_II_III_IV_V_VI_10	8.6e-27	91.4	0.866	0.778	7	230
FNCLAJ_02855	EF-W8	540	288	cas1_I_II_III_IV_V_VI_1	1.3e-48	163.1	0.795	0.806	4	235
FNCLAJ_02855	EF-W8	540	288	cas1_I_II_III_IV_V_VI_8	7e-60	200.2	0.848	0.906	1	261
FNCLAJ_02855	EF-W8	540	288	cas1_I_II_III_IV_V_VI_5	1.9e-97	323.1	0.996	0.934	3	271
FNCLAJ_02860	EF-W8	541	109	cas2_I_II_III_IV_V_VI_13	6.3e-16	55.8	1.0	0.706	6	82
FNCLAJ_02860	EF-W8	541	109	cas2_I_II_III_IV_V_VI_1	1.7e-27	93.0	0.989	0.872	6	100
FNCLAJ_02860	EF-W8	541	109	cas2_I_II_III_IV_V_VI_11	6e-35	116.9	1.0	0.927	6	106
