hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JEILEN_00175	DFI-250	34	311	WYL_I_II_III_IV_V_VI_4	8.2e-27	91.8	0.983	0.534	139	304
JEILEN_00175	DFI-250	34	311	WYL_I_II_III_IV_V_VI_1	5.199999999999999e-47	158.3	0.987	0.997	1	310
JEILEN_01595	DFI-250	289	381	Dnd__DndA	2.5e-102	340.1	0.979	0.966	2	369
JEILEN_02520	DFI-250	471	1010	RM__Type_I_REases_FAM_0.einsi_trimmed	1.5e-68	229.5	0.661	0.709	115	830
JEILEN_02520	DFI-250	471	1010	RM__Type_I_REases_FAM_1.einsi_trimmed	0.0	1102.4	0.979	0.978	2	989
JEILEN_02860	DFI-250	539	481	DISARM__drmC	2.4e-17	60.8	0.747	0.395	258	447
JEILEN_03065	DFI-250	578	1337	cas9_II-C_4	5.8e-82	273.8	0.961	0.996	2	1332
JEILEN_03065	DFI-250	578	1337	cas9_II-A_1	3.7e-277	920.4	0.841	0.862	2	1154
JEILEN_03065	DFI-250	578	1337	cas9_II-A_II-B_II-C_1	8.4e-280	928.3	0.999	0.78	4	1046
JEILEN_03065	DFI-250	578	1337	cas9_II-A_II-B_II-C_3	0.0	1103.0	0.998	0.999	1	1335
JEILEN_03070	DFI-250	579	288	cas1_I_II_III_IV_V_VI_2	1.8e-23	80.6	0.946	0.781	7	231
JEILEN_03070	DFI-250	579	288	cas1_I_II_III_IV_V_VI_10	9.1e-27	91.4	0.866	0.778	7	230
JEILEN_03070	DFI-250	579	288	cas1_I_II_III_IV_V_VI_1	1.4e-48	163.1	0.795	0.806	4	235
JEILEN_03070	DFI-250	579	288	cas1_I_II_III_IV_V_VI_8	7.399999999999999e-60	200.2	0.848	0.906	1	261
JEILEN_03070	DFI-250	579	288	cas1_I_II_III_IV_V_VI_5	2e-97	323.1	0.996	0.934	3	271
JEILEN_03075	DFI-250	580	109	cas2_I_II_III_IV_V_VI_13	6.6e-16	55.8	1.0	0.706	6	82
JEILEN_03075	DFI-250	580	109	cas2_I_II_III_IV_V_VI_1	1.8e-27	93.0	0.989	0.872	6	100
JEILEN_03075	DFI-250	580	109	cas2_I_II_III_IV_V_VI_11	6.4e-35	116.9	1.0	0.927	6	106
JEILEN_03075	DFI-250	580	109	cas2_I_II_III_IV_V_VI_6	1.5000000000000001e-46	154.9	0.957	0.991	1	108
JEILEN_03080	DFI-250	581	219	csn2_II-A_3	3.3e-30	102.7	0.987	0.968	1	212
JEILEN_03080	DFI-250	581	219	csn2_II-A_4	3.9e-107	354.3	1.0	0.995	1	218
JEILEN_03250	DFI-250	615	746	Dodola__DolB	3e-23	80.0	0.528	0.277	387	593
JEILEN_03320	DFI-250	629	752	Gabija__GajB_3	5.7e-17	59.4	0.663	0.382	27	313
JEILEN_03320	DFI-250	629	752	Gabija__GajB_1	6.999999999999999e-41	138.0	0.921	0.809	15	622
JEILEN_03320	DFI-250	629	752	UG35__UvrD	9.1e-103	342.3	0.53	0.576	11	443
JEILEN_03320	DFI-250	629	752	Gabija__GajB_2	1.3999999999999999e-112	374.6	0.774	0.876	4	662
JEILEN_03790	DFI-250	720	113	MazEF__MazF	1.8e-09	34.9	0.919	0.956	4	111
JEILEN_03905	DFI-250	742	125	MazEF__MazF	8.7e-08	29.5	0.694	0.664	4	86
JEILEN_04030	DFI-250	766	837	UG9__DNA_pol	3.3999999999999998e-37	125.9	0.756	0.496	411	825
JEILEN_04295	DFI-250	818	732	Gabija__GajB_3	5.2e-10	36.5	0.596	0.301	496	715
JEILEN_04300	DFI-250	819	256	Gao_Qat__QatD	2.7e-13	47.3	0.941	0.969	4	251
JEILEN_05315	DFI-250	1002	583	HEC-05__HEC-05	1.8e-252	838.8	0.533	0.99	5	581
JEILEN_05385	DFI-250	1015	437	Lamassu-Fam__LmuB_SMC_Mrr	8e-13	45.2	0.503	0.723	1	316
JEILEN_05645	DFI-250	1066	1264	Gabija__GajB_2	1.2e-58	196.6	0.777	0.752	13	962
JEILEN_06735	DFI-250	1280	284	CBASS__AG_E1_ThiF	1.8999999999999997e-51	172.3	0.926	0.831	25	260
JEILEN_07360	DFI-250	1404	624	UG6__DnaG	1.4e-37	126.9	0.846	0.487	34	337
JEILEN_07470	DFI-250	1426	478	PsyrTA__PsyrT	9.8e-95	315.6	0.682	0.921	4	443
JEILEN_07780	DFI-250	1487	486	DISARM__drmC	1.6e-11	41.7	0.547	0.286	322	460
JEILEN_07980	DFI-250	1527	287	PsyrTA__PsyrA	1.7e-34	117.0	0.543	0.746	65	278
JEILEN_07980	DFI-250	1527	287	ShosTA__ShosA	1.4e-65	218.8	0.894	0.941	13	282
JEILEN_08095	DFI-250	1550	142	Lamassu-Fam__LmuC_acc_Lipase	1.3e-05	22.3	0.47	0.577	59	140
JEILEN_08565	DFI-250	1644	228	ShosTA__ShosT	1.2e-12	45.5	0.722	0.785	49	227
JEILEN_09270	DFI-250	1783	335	RM_Type_II__Type_II_MTases_FAM_13	1.2e-09	34.8	0.424	0.704	63	298
JEILEN_09270	DFI-250	1783	335	RM_Type_II__Type_II_MTases_FAM_33	1.1e-15	54.9	0.429	0.63	100	310
JEILEN_09670	DFI-250	1860	374	SspBCDE__SspD	1.1e-05	22.5	0.433	0.356	5	137
JEILEN_09680	DFI-250	1862	381	Dnd__DndA	1.5e-109	363.9	0.963	0.95	4	365
JEILEN_09740	DFI-250	1873	320	Abi2__Abi_2	1.4999999999999999e-40	136.8	0.989	0.609	31	225
JEILEN_09740	DFI-250	1873	320	AbiD__AbiD	1.4999999999999999e-61	206.0	0.904	0.956	4	309
JEILEN_09890	DFI-250	1902	400	RM_Type_II__Type_II_MTases_FAM_8	2.6e-09	34.1	0.517	0.315	251	376
