# Annotated with Bakta
# Software: v1.9.4
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	1344	+	JCNBHB_00005	dnaA	chromosomal replication initiator protein DnaA	COG:COG0593, COG:L, GO:0003677, GO:0003688, GO:0005524, GO:0005737, GO:0006270, GO:0006275, GO:0016887, KEGG:K02313, SO:0001217, UniRef:UniRef50_Q890K8, UniRef:UniRef90_Q839Z5
contig_1	oriC	1345	1545	?			origin of replication	
contig_1	cds	1546	2676	+	JCNBHB_00010	dnaN	DNA polymerase III subunit beta	COG:COG0592, COG:L, EC:2.7.7.7, GO:0003887, GO:0006260, GO:0009360, KEGG:K02338, RefSeq:WP_002356014.1, SO:0001217, UniParc:UPI000005BC7D, UniRef:UniRef100_A0A640NCH5, UniRef:UniRef50_C2FB33, UniRef:UniRef90_A0A640NCH5
contig_1	cds	3256	3501	+	JCNBHB_00015	yaaA	Ribosome-associated protein YbcJ, S4-like RNA-binding protein	COG:COG2501, COG:J, RefSeq:WP_002356015.1, SO:0001217, UniParc:UPI000005BC7E, UniRef:UniRef100_A0A640NCP0, UniRef:UniRef50_E6LEK5, UniRef:UniRef90_A0A1L5KG86
contig_1	cds	3488	4615	+	JCNBHB_00020	recF	DNA replication/repair protein RecF	COG:COG1195, COG:L, GO:0003697, GO:0005524, GO:0005737, GO:0006260, GO:0006281, GO:0009432, RefSeq:WP_002356016.1, SO:0001217, UniParc:UPI000005BC7F, UniRef:UniRef100_Q839Z2, UniRef:UniRef50_Q8DRR3, UniRef:UniRef90_Q839Z2
contig_1	cds	4612	6561	+	JCNBHB_00025	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	COG:COG0187, COG:L, EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0005737, GO:0006261, GO:0006265, GO:0009330, GO:0046872, RefSeq:WP_002359210.1, SO:0001217, UniParc:UPI00000B6D43, UniRef:UniRef100_Q839Z1, UniRef:UniRef50_Q839Z1, UniRef:UniRef90_Q839Z1
contig_1	cds	6617	9118	+	JCNBHB_00030	gyrA	DNA gyrase subunit A	EC:5.6.2.2, GO:0003677, GO:0003916, GO:0003918, GO:0005524, GO:0006259, GO:0006265, RefSeq:WP_002383521.1, SO:0001217, UniParc:UPI00019C75A4, UniRef:UniRef100_A0A1J6YID4, UniRef:UniRef50_Q2FKQ0, UniRef:UniRef90_A0A242CDZ9
contig_1	cds	9293	9595	+	JCNBHB_00035	rpsF	30S ribosomal protein S6	COG:COG0360, COG:J, GO:0000314, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:0022627, GO:1990904, RefSeq:WP_002356019.1, SO:0001217, UniParc:UPI000005BC82, UniRef:UniRef100_Q839Z0, UniRef:UniRef50_Q839Z0, UniRef:UniRef90_Q839Z0
contig_1	cds	9640	10206	+	JCNBHB_00040	ssb	Single-stranded DNA-binding protein	COG:COG0629, COG:L, GO:0003697, GO:0006260, GO:0006281, GO:0006310, RefSeq:WP_002364599.1, SO:0001217, UniParc:UPI000175BF93, UniRef:UniRef100_A0A1B4XKB5, UniRef:UniRef50_Q839Y9, UniRef:UniRef90_Q839Y9
contig_1	cds	10232	10471	+	JCNBHB_00045	rpsR	30S ribosomal protein S18	COG:COG0238, COG:J, GO:0000314, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:0022627, GO:1990904, KEGG:K02963, RefSeq:WP_002356021.1, SO:0001217, UniParc:UPI000005BC84, UniRef:UniRef100_Q839Y8, UniRef:UniRef50_Q839Y8, UniRef:UniRef90_Q839Y8
