#Annotated with Bakta v1.9.4, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	53461	54093	-	GHDJDA_00245	24.4	6.9		SO:0001217, UniRef:UniRef50_Q839U8, UniRef:UniRef90_Q839U8
contig_1	54962	55372	-	GHDJDA_00255	16.2	9.4		RefSeq:WP_002387446.1, SO:0001217, UniParc:UPI000005BCAE, UniRef:UniRef100_Q839U6, UniRef:UniRef50_Q839U6, UniRef:UniRef90_Q839U6
contig_1	55691	57361	+	GHDJDA_00260	62.7	5.6	PF00005.31|ABC_tran	PFAM:PF00005.31
contig_1	70365	70793	-	GHDJDA_00320	16.2	8.9		RefSeq:WP_010706814.1, SO:0001217, UniParc:UPI0002DFDA6B, UniRef:UniRef100_UPI0020051EF5, UniRef:UniRef50_E2YW45, UniRef:UniRef90_E2YW45
contig_1	81378	81557	+	GHDJDA_00385	6.9	4.6		RefSeq:WP_002381345.1, SO:0001217, UniParc:UPI000005BCC6, UniRef:UniRef100_A0A640NC82, UniRef:UniRef50_A0A640NC82, UniRef:UniRef90_A0A640NC82
contig_1	126029	126382	-	GHDJDA_00570	13.0	6.3		
contig_1	130855	130989	+	GHDJDA_00595	5.3	8.1		
contig_1	134544	134726	-	GHDJDA_00620	6.9	9.6		RefSeq:WP_002359286.1, SO:0001217, UniParc:UPI000005BCF0, UniRef:UniRef100_Q839N3, UniRef:UniRef50_Q839N3, UniRef:UniRef90_Q839N3
contig_1	134893	135144	+	GHDJDA_00625	10.0	9.8		RefSeq:WP_002359287.1, SO:0001217, UniParc:UPI000005BCF1, UniRef:UniRef100_A0A4U4KYU3, UniRef:UniRef50_Q831G7, UniRef:UniRef90_Q831G7
contig_1	136114	136338	+	GHDJDA_00640	8.8	8.0		RefSeq:WP_002359290.1, SO:0001217, UniParc:UPI000005BCF4, UniRef:UniRef100_Q839M9, UniRef:UniRef50_Q831H0, UniRef:UniRef90_Q831H0
contig_1	136367	136558	+	GHDJDA_00645	7.5	9.8		RefSeq:WP_010773668.1, SO:0001217, UniParc:UPI0002F2A61D, UniRef:UniRef100_Q839M8, UniRef:UniRef50_Q839M8, UniRef:UniRef90_Q839M8
contig_1	136540	136944	+	GHDJDA_00650	16.0	4.8		RefSeq:WP_002359292.1, SO:0001217, UniParc:UPI000005BCF6, UniRef:UniRef100_Q839M7, UniRef:UniRef50_Q839M7, UniRef:UniRef90_Q839M7
contig_1	137762	137860	+	GHDJDA_00665	3.9	4.2		
contig_1	139312	139845	+	GHDJDA_00675	21.4	6.7		RefSeq:WP_002359296.1, SO:0001217, UniParc:UPI000005BCFA, UniRef:UniRef100_A0A4U4C7W9, UniRef:UniRef50_A0A4U4C7W9, UniRef:UniRef90_A0A4U4C7W9
contig_1	150347	150847	-	GHDJDA_00720	19.3	9.9		
contig_1	151141	151326	-	GHDJDA_00725	7.0	9.4		
contig_1	151385	151939	+	GHDJDA_00730	22.4	7.7		RefSeq:WP_002359309.1, SO:0001217, UniParc:UPI000005BD04, UniRef:UniRef100_Q839L4, UniRef:UniRef50_Q839L4, UniRef:UniRef90_Q839L4
contig_1	151982	152425	+	GHDJDA_00735	17.8	9.1		RefSeq:WP_002359311.1, SO:0001217, UniParc:UPI000005BD05, UniRef:UniRef100_Q839L3, UniRef:UniRef50_Q839L3, UniRef:UniRef90_Q839L3
