system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
11,contig_1,hachiman_type_I,contig_1_108,PDLC00182,HamB1_00009,HamB1,0,0,0.997,0.999,126139,128301,-,-,108,2916,"PDLC00175,HamB1_00002, 1, 4e-09, 0.172, 0.126 | PDLC00174,HamB1_00001, 1, 0.67, 0.069, 0.045 | PDLC00174,HamB1_00001, 2, 1.8e-08, 0.118, 0.073 | PDLC00176,HamB1_00003, 1, 2e-56, 0.653, 0.599 | PDLC00176,HamB1_00003, 2, 190, 0.197, 0.164 | PDLC00188,HamB1_00015, 1, 0.34, 0.09, 0.066 | PDLC00188,HamB1_00015, 2, 7.3e-12, 0.162, 0.113 | PDLC00177,HamB1_00004, 1, 2.1e-07, 0.301, 0.272 | PDLC00177,HamB1_00004, 2, 2.1e-25, 0.311, 0.257 | PDLC00177,HamB1_00004, 3, 130, 0.086, 0.074 | PDLC00185,HamB1_00012, 1, 1.5e-15, 0.233, 0.202 | PDLC00185,HamB1_00012, 2, 3e-24, 0.354, 0.284 | PDLC00191,HamB1_00018, 1, 21, 0.069, 0.066 | PDLC00191,HamB1_00018, 2, 2.3e-54, 0.817, 0.838 | PDLC00190,HamB1_00017, 1, 4.5e-52, 0.61, 0.544 | PDLC00184,HamB1_00011, 1, 8.5e-96, 0.865, 0.846 | PDLC00179,HamB1_00006, 1, 8.3e-55, 0.431, 0.752 | PDLC00186,HamB1_00013, 1, 2e-13, 0.237, 0.219 | PDLC00186,HamB1_00013, 2, 7.7e-32, 0.23, 0.191 | PDLC00186,HamB1_00013, 3, 36, 0.244, 0.2 | PDLC00187,HamB1_00014, 1, 4.7e-15, 0.257, 0.228 | PDLC00187,HamB1_00014, 2, 8.2e-31, 0.222, 0.187 | PDLC00187,HamB1_00014, 3, 25, 0.196, 0.168 | PDLC00193,HamB1_00020, 1, 1.1e-89, 0.777, 0.979 | PDLC00182,HamB1_00009, 1, 0, 0.997, 0.999 | PDLC00180,HamB1_00007, 1, 2.1e-211, 0.979, 0.975 | PDLC00194,HamB1_00021, 1, 120, 0.069, 0.053 | PDLC00194,HamB1_00021, 2, 7.4e-13, 0.154, 0.118 | PDLC00181,HamB1_00008, 1, 7.8e-27, 0.538, 0.487 | PDLC00181,HamB1_00008, 2, 210, 0.085, 0.072","PDLC00182, HamB1_00009, 0, 0.997, 0.999 | PDLC00180, HamB1_00007, 2.1e-211, 0.979, 0.975 | PDLC00184, HamB1_00011, 8.5e-96, 0.865, 0.846 | PDLC00193, HamB1_00020, 1.1e-89, 0.777, 0.979 | PDLC00176, HamB1_00003, 2e-56, 0.653, 0.599"
11,contig_1,hachiman_type_I,contig_1_109,PDLC00150,HamA1_00001,HamA1,9.299999999999998e-128,1.0999999999999997e-127,0.966,0.987,128306,129268,-,-,109,2916,"PDLC00167,HamA1_00018, 1, 4.4e-14, 0.611, 0.641 | PDLC00173,HamA1_00024, 1, 2e-13, 0.632, 0.365 | PDLC00172,HamA1_00023, 1, 3.2e-10, 0.502, 0.5 | PDLC00166,HamA1_00017, 1, 6.9e-55, 0.86, 0.872 | PDLC00170,HamA1_00021, 1, 81, 0.15, 0.168 | PDLC00170,HamA1_00021, 2, 1e-43, 0.654, 0.724 | PDLC00158,HamA1_00009, 1, 2.8e-24, 0.651, 0.7 | PDLC00165,HamA1_00016, 1, 3.4e-11, 0.704, 0.714 | PDLC00171,HamA1_00022, 1, 1.1e-31, 0.654, 0.696 | PDLC00163,HamA1_00014, 1, 7.9e-13, 0.897, 0.86 | PDLC00152,HamA1_00003, 1, 3.3e-18, 0.62, 0.645 | PDLC00153,HamA1_00004, 1, 8.2e-17, 0.617, 0.353 | PDLC00150,HamA1_00001, 1, 1.1e-127, 0.966, 0.987 | PDLC00168,HamA1_00019, 1, 5.5e-13, 0.841, 0.821 | PDLC00169,HamA1_00020, 1, 1.5e-14, 0.648, 0.41 | PDLC00157,HamA1_00008, 1, 1.7e-10, 0.227, 0.253 | PDLC00156,HamA1_00007, 1, 1.2, 0.196, 0.201 | PDLC00156,HamA1_00007, 2, 3.5e-11, 0.433, 0.483 | PDLC00156,HamA1_00007, 3, 200, 0.159, 0.164","PDLC00150, HamA1_00001, 1.1e-127, 0.966, 0.987 | PDLC00166, HamA1_00017, 6.9e-55, 0.86, 0.872 | PDLC00170, HamA1_00021, 1e-43, 0.654, 0.724 | PDLC00171, HamA1_00022, 1.1e-31, 0.654, 0.696 | PDLC00158, HamA1_00009, 2.8e-24, 0.651, 0.7"
6,contig_1,Lamassu_Family,contig_1_230,PDLC03848,Lamassu-Fam__LmuA_effector_Cap4_nuclease_II,LmuA,2.6e-32,4.3e-32,0.889,0.96,251462,252865,+,-,230,2916,"PDLC03848,Lamassu-Fam__LmuA_effector_Cap4_nuclease_II, 1, 4.3e-32, 0.889, 0.96","PDLC03848, Lamassu-Fam__LmuA_effector_Cap4_nuclease_II, 4.3e-32, 0.889, 0.96"
6,contig_1,Lamassu_Family,contig_1_231,PDLC03870,Lamassu-Fam__LmuC_acc_Cap4_nuclease,LmuC,6.4e-14,1.1e-13,0.941,0.939,252862,253569,+,-,231,2916,"PDLC03870,Lamassu-Fam__LmuC_acc_Cap4_nuclease, 1, 1.1e-13, 0.941, 0.939","PDLC03870, Lamassu-Fam__LmuC_acc_Cap4_nuclease, 1.1e-13, 0.941, 0.939"
6,contig_1,Lamassu_Family,contig_1_233,PDLC03859,Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II,LmuB,1.7e-46,8.4e-46,0.973,0.756,253997,255919,+,-,233,2916,"PDLC03861,Lamassu-Fam__LmuB_SMC_Amidase, 1, 0.029, 0.404, 0.197 | PDLC03861,Lamassu-Fam__LmuB_SMC_Amidase, 2, 51, 0.187, 0.095 | PDLC03861,Lamassu-Fam__LmuB_SMC_Amidase, 3, 8.3e-08, 0.123, 0.068 | PDLC03859,Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II, 1, 8.4e-46, 0.973, 0.756 | PDLC03865,Lamassu-Fam__LmuB_SMC_Hydrolase_protease, 1, 6.8e-11, 0.697, 0.456 | PDLC03865,Lamassu-Fam__LmuB_SMC_Hydrolase_protease, 2, 5.4e-19, 0.148, 0.099 | PDLC03868,Lamassu-Fam__LmuB_SMC_FMO, 1, 13, 0.083, 0.051 | PDLC03868,Lamassu-Fam__LmuB_SMC_FMO, 2, 1.7, 0.039, 0.023 | PDLC03868,Lamassu-Fam__LmuB_SMC_FMO, 3, 5.1e-08, 0.125, 0.079","PDLC03859, Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II, 8.4e-46, 0.973, 0.756 | PDLC03865, Lamassu-Fam__LmuB_SMC_Hydrolase_protease, 5.4e-19, 0.148, 0.099 | PDLC03868, Lamassu-Fam__LmuB_SMC_FMO, 5.1e-08, 0.125, 0.079 | PDLC03861, Lamassu-Fam__LmuB_SMC_Amidase, 8.3e-08, 0.123, 0.068"
7,contig_1,PD-T4-6,contig_1_304,PDLC04040,PD-T4-6_WP_011718859.1,PD-T4-6,5.999999999999999e-137,3.9999999999999993e-113,0.702,0.931,324409,326565,+,-,304,2916,"PDLC04063,PD-T4-6_WP_222213733.1, 1, 3e-28, 0.37, 0.488 | PDLC04062,PD-T4-6_WP_214431164.1, 1, 4.3e-41, 0.367, 0.587 | PDLC04060,PD-T4-6_WP_203635815.1, 1, 4.1e-127, 0.604, 0.953 | PDLC04060,PD-T4-6_WP_203635815.1, 2, 2.1e-07, 0.089, 0.126 | PDLC04060,PD-T4-6_WP_203635815.1, 3, 7.3e-05, 0.107, 0.152 | PDLC04060,PD-T4-6_WP_203635815.1, 4, 5.5e-05, 0.057, 0.082 | PDLC04060,PD-T4-6_WP_203635815.1, 5, 0.00018, 0.099, 0.15 | PDLC04048,PD-T4-6_WP_144078097.1, 1, 2.7e-142, 0.419, 0.853 | PDLC04048,PD-T4-6_WP_144078097.1, 2, 430, 0, 0 | PDLC04049,PD-T4-6_WP_145059686.1, 1, 9.9e-29, 0.376, 0.627 | PDLC04061,PD-T4-6_WP_205119068.1, 1, 8.7e-107, 0.567, 0.822 | PDLC04061,PD-T4-6_WP_205119068.1, 2, 940, 0.018, 0.025 | PDLC04059,PD-T4-6_WP_187294376.1, 1, 6.2e-28, 0.356, 0.612 | PDLC04064,PD-T4-6_WP_224370629.1, 1, 8.6e-62, 0.378, 0.737 | PDLC04058,PD-T4-6_WP_170252675.1, 1, 9.6e-27, 0.367, 0.596 | PDLC04039,PD-T4-6_WP_009677753.1, 1, 9.3e-85, 0.376, 0.587 | PDLC04056,PD-T4-6_WP_158110440.1, 1, 2.3e-29, 0.281, 0.496 | PDLC04042,PD-T4-6_WP_036366335.1, 1, 3.1e-98, 0.374, 0.928 | PDLC04043,PD-T4-6_WP_067834564.1, 1, 3.3e-96, 0.566, 0.834 | PDLC04057,PD-T4-6_WP_160801532.1, 1, 6.8e-122, 0.581, 0.964 | PDLC04041,PD-T4-6_WP_012633303.1, 1, 3e-70, 0.529, 0.727 | PDLC04055,PD-T4-6_WP_157606249.1, 1, 5.2e-53, 0.367, 0.54 | PDLC04054,PD-T4-6_WP_157521248.1, 1, 3.7e-86, 0.423, 0.873 | PDLC04040,PD-T4-6_WP_011718859.1, 1, 4e-113, 0.702, 0.931 | PDLC04040,PD-T4-6_WP_011718859.1, 2, 6.9e-13, 0.132, 0.166 | PDLC04040,PD-T4-6_WP_011718859.1, 3, 1.8e-15, 0.171, 0.221 | PDLC04044,PD-T4-6_WP_083882641.1, 1, 7.7e-49, 0.374, 0.72 | PDLC04044,PD-T4-6_WP_083882641.1, 2, 480, 0.065, 0.126 | PDLC04050,PD-T4-6_WP_146515207.1, 1, 1.1e-60, 0.36, 0.544 | PDLC04051,PD-T4-6_WP_148765916.1, 1, 2.6e-34, 0.363, 0.55 | PDLC04045,PD-T4-6_WP_086836475.1, 1, 5.7e-41, 0.378, 0.789 | PDLC04045,PD-T4-6_WP_086836475.1, 2, 230, 0.06, 0.123 | PDLC04053,PD-T4-6_WP_157124873.1, 1, 5.6e-94, 0.382, 0.887 | PDLC04047,PD-T4-6_WP_139553373.1, 1, 1.5e-117, 0.389, 0.859 | PDLC04047,PD-T4-6_WP_139553373.1, 2, 370, 0.108, 0.226 | PDLC04046,PD-T4-6_WP_113935400.1, 1, 1.4e-28, 0.362, 0.63 | PDLC04052,PD-T4-6_WP_153359500.1, 1, 9.9e-110, 0.683, 0.98 | PDLC04052,PD-T4-6_WP_153359500.1, 2, 2.9e-06, 0.203, 0.29 | PDLC04052,PD-T4-6_WP_153359500.1, 3, 0.042, 0.104, 0.155","PDLC04048, PD-T4-6_WP_144078097.1, 2.7e-142, 0.419, 0.853 | PDLC04060, PD-T4-6_WP_203635815.1, 4.1e-127, 0.604, 0.953 | PDLC04057, PD-T4-6_WP_160801532.1, 6.8e-122, 0.581, 0.964 | PDLC04047, PD-T4-6_WP_139553373.1, 1.5e-117, 0.389, 0.859 | PDLC04040, PD-T4-6_WP_011718859.1, 4e-113, 0.702, 0.931"
1,contig_1,AbiD,contig_1_1116,PDLC02344,AbiD,AbiD,1e-44,1.3e-44,0.913,0.946,1163399,1164367,+,-,1116,2916,"PDLC02344,AbiD, 1, 1.3e-44, 0.913, 0.946","PDLC02344, AbiD, 1.3e-44, 0.913, 0.946"
9,contig_1,PDC-S32,contig_1_1251,PDLC04998,PDC-S32_WP_121975952.1,PDC-S32,4.1e-53,4.9e-53,0.963,0.975,1303069,1303797,-,-,1251,2916,"PDLC04998,PDC-S32_WP_121975952.1, 1, 4.9e-53, 0.963, 0.975","PDLC04998, PDC-S32_WP_121975952.1, 4.9e-53, 0.963, 0.975"
5,contig_1,HEC-05,contig_1_1907,PDLC04151,HEC-05_WP_156276309.1,HEC-05,4.099999999999998e-208,4.599999999999998e-208,0.993,0.955,1994359,1996110,+,-,1907,2916,"PDLC04153,HEC-05_WP_034450126.1, 1, 1e-69, 0.981, 0.965 | PDLC04152,HEC-05_WP_212883090.1, 1, 1.5e-83, 0.974, 0.968 | PDLC04150,HEC-05_WP_096029243.1, 1, 4.3e-125, 0.983, 0.981 | PDLC04151,HEC-05_WP_156276309.1, 1, 4.6e-208, 0.993, 0.955","PDLC04151, HEC-05_WP_156276309.1, 4.6e-208, 0.993, 0.955 | PDLC04150, HEC-05_WP_096029243.1, 4.3e-125, 0.983, 0.981 | PDLC04152, HEC-05_WP_212883090.1, 1.5e-83, 0.974, 0.968 | PDLC04153, HEC-05_WP_034450126.1, 1e-69, 0.981, 0.965"
8,contig_1,PDC-S05,contig_1_2323,PDLC04851,PDC-S05_WP_020395932.1,PDC-S05,1.5999999999999997e-153,1.8999999999999996e-153,0.928,0.971,2418315,2419397,+,-,2323,2916,"PDLC04881,PDC-S05_WP_108603569.1, 1, 2.7e-22, 0.186, 0.817 | PDLC04857,PDC-S05_WP_200872712.1, 1, 3.4e-10, 0.449, 0.858 | PDLC04843,PDC-S05_WP_181573034.1, 1, 6.7e-104, 0.842, 0.894 | PDLC04880,PDC-S05_WP_050949286.1, 1, 3.6e-07, 0.089, 0.582 | PDLC04855,PDC-S05_WP_179358254.1, 1, 1.8e-09, 0.136, 0.598 | PDLC04854,PDC-S05_WP_190995815.1, 1, 9.4e-48, 0.438, 0.75 | PDLC04854,PDC-S05_WP_190995815.1, 2, 110, 0.15, 0.259 | PDLC04868,PDC-S05_WP_205747975.1, 1, 1e-149, 0.914, 0.973 | PDLC04883,PDC-S05_WP_220413105.1, 1, 1.4e-15, 0.186, 0.782 | PDLC04883,PDC-S05_WP_220413105.1, 2, 330, 0.05, 0.195 | PDLC04850,PDC-S05_WP_191092432.1, 1, 2.5e-05, 0.166, 0.698 | PDLC04850,PDC-S05_WP_191092432.1, 2, 1100, 0.028, 0.116 | PDLC04844,PDC-S05_WP_008569830.1, 1, 1.4e-19, 0.23, 0.535 | PDLC04844,PDC-S05_WP_008569830.1, 2, 760, 0.058, 0.135 | PDLC04879,PDC-S05_WP_091962608.1, 1, 2.1e-38, 0.352, 0.439 | PDLC04879,PDC-S05_WP_091962608.1, 2, 610, 0.05, 0.063 | PDLC04879,PDC-S05_WP_091962608.1, 3, 720, 0.066, 0.084 | PDLC04845,PDC-S05_WP_210384770.1, 1, 1.1e-24, 0.38, 0.717 | PDLC04845,PDC-S05_WP_210384770.1, 2, 290, 0.127, 0.23 | PDLC04845,PDC-S05_WP_210384770.1, 3, 0.14, 0.219, 0.393 | PDLC04851,PDC-S05_WP_020395932.1, 1, 1.9e-153, 0.928, 0.971 | PDLC04884,PDC-S05_WP_026981758.1, 1, 1.8e-21, 0.197, 0.835 | PDLC04884,PDC-S05_WP_026981758.1, 2, 190, 0.053, 0.2 | PDLC04847,PDC-S05_WP_224134658.1, 1, 1.5e-18, 0.241, 0.817 | PDLC04853,PDC-S05_WP_228444512.1, 1, 3.5e-130, 0.886, 0.935 | PDLC04852,PDC-S05_WP_110807286.1, 1, 2e-122, 0.914, 0.939 | PDLC04885,PDC-S05_WP_002697025.1, 1, 1.5e-28, 0.258, 0.845 | PDLC04885,PDC-S05_WP_002697025.1, 2, 460, 0.05, 0.155 | PDLC04863,PDC-S05_WP_104509157.1, 1, 0.019, 0.166, 0.676 | PDLC04877,PDC-S05_WP_126307469.1, 1, 1.8e-14, 0.166, 0.732 | PDLC04877,PDC-S05_WP_126307469.1, 2, 920, 0.053, 0.207 | PDLC04877,PDC-S05_WP_126307469.1, 3, 48, 0.053, 0.22 | PDLC04876,PDC-S05_WP_205197604.1, 1, 1.1e-69, 0.465, 0.948 | PDLC04876,PDC-S05_WP_205197604.1, 2, 180, 0.055, 0.115 | PDLC04848,PDC-S05_WP_138764285.1, 1, 1e-31, 0.352, 0.436 | PDLC04848,PDC-S05_WP_138764285.1, 2, 450, 0.094, 0.117 | PDLC04874,PDC-S05_WP_205904899.1, 1, 1e-27, 0.349, 0.745 | PDLC04860,PDC-S05_WP_055170183.1, 1, 1.6e-28, 0.294, 0.709 | PDLC04860,PDC-S05_WP_055170183.1, 2, 5.3e-15, 0.119, 0.305 | PDLC04861,PDC-S05_WP_205729986.1, 1, 5.3e-23, 0.191, 0.831 | PDLC04861,PDC-S05_WP_205729986.1, 2, 360, 0.055, 0.229 | PDLC04875,PDC-S05_WP_187536628.1, 1, 6.4e-13, 0.252, 0.699 | PDLC04875,PDC-S05_WP_187536628.1, 2, 4.1e-05, 0.255, 0.756 | PDLC04871,PDC-S05_WP_231564492.1, 1, 3.9e-126, 0.945, 0.724 | PDLC04865,PDC-S05_WP_206196814.1, 1, 6.5e-24, 0.208, 0.824 | PDLC04859,PDC-S05_WP_215891945.1, 1, 6.3e-17, 0.194, 0.667 | PDLC04858,PDC-S05_WP_065233724.1, 1, 4.5e-40, 0.341, 0.87 | PDLC04858,PDC-S05_WP_065233724.1, 2, 1000, 0.033, 0.087 | PDLC04864,PDC-S05_WP_222427554.1, 1, 1.2e-102, 0.742, 0.946 | PDLC04870,PDC-S05_WP_135110477.1, 1, 1.1e-91, 0.587, 0.963 | PDLC04872,PDC-S05_WP_106707341.1, 1, 1.9e-45, 0.355, 0.842 | PDLC04872,PDC-S05_WP_106707341.1, 2, 1200, 0.03, 0.533 | PDLC04873,PDC-S05_WP_017455060.1, 1, 2.7e-29, 0.291, 0.879 | PDLC04873,PDC-S05_WP_017455060.1, 2, 1800, 0.053, 0.155 | PDLC04867,PDC-S05_WP_204355478.1, 1, 9.3e-23, 0.202, 0.785 | PDLC04867,PDC-S05_WP_204355478.1, 2, 430, 0.036, 0.14","PDLC04851, PDC-S05_WP_020395932.1, 1.9e-153, 0.928, 0.971 | PDLC04868, PDC-S05_WP_205747975.1, 1e-149, 0.914, 0.973 | PDLC04853, PDC-S05_WP_228444512.1, 3.5e-130, 0.886, 0.935 | PDLC04871, PDC-S05_WP_231564492.1, 3.9e-126, 0.945, 0.724 | PDLC04852, PDC-S05_WP_110807286.1, 2e-122, 0.914, 0.939"
