sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
CI-8050_plasmid00001	1	74760	0.3466827180310326	b27c6dfb1566ce56561d525b39ea66b7	rep_cluster_976	002460__CP015884	MOBP	NC_013533_00032	-	-	-	-	mobilizable	CP028726	0.0471738	Enterococcus faecalis	AD288	AM781	genus	Enterococcus	genus	Enterococcus	-	-	-
DFI-266_plasmid00001	1	72087	0.3298236852691886	06f34daa5b18a89d3416f1775c67e423	rep_cluster_1017,rep_cluster_1142,rep_cluster_992	000264__NC_017336_00001,000421__NC_013320_00022,002472__AE016833_00001	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP036248	0.0223484	Enterococcus faecalis R712	AE315	AO075	class	Bacilli	class	Bacilli	-	-	-
CI-8010_plasmid00001	1	71942	0.32964054377137136	e8161533067f261d0130f8a307542c26	rep_cluster_1017,rep_cluster_1142,rep_cluster_992	000264__NC_017336_00001,000421__NC_013320_00022,002472__AE016833_00001	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP036248	0.0223484	Enterococcus faecalis R712	AE315	AO075	class	Bacilli	class	Bacilli	-	-	-
DFI-250_plasmid00001	1	68755	0.34004799650934475	f39533da382f0b11543f14272f533740	rep_cluster_980	AB374546	MOBP	NC_011642_00047	-	-	MOBP	CP012386	mobilizable	CP040897	0.00224371	Enterococcus faecalis	AB530	AK348	genus	Enterococcus	genus	Enterococcus	-	-	-
CI-1049_plasmid00001	1	66110	0.34351837846014216	b5e20e743980480810e25e4e94c54cd9	rep_cluster_1027	AB563188	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP028721	0.0188675	Enterococcus faecalis	AE315	AO074	genus	Enterococcus	genus	Enterococcus	-	-	-
CI-1104_plasmid00001	1	65945	0.3304723633330806	670383a9506fc6ec5ff6177c68ebfa70	rep_cluster_180	001222__CP008815_00027	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP028286	0.0489202	Enterococcus faecalis	AE315	AO074	genus	Enterococcus	genus	Enterococcus	-	-	-
CI-1049_plasmid00002	1	64692	0.33764607679465775	f1518b8bb74cf61691b6a6182874c5c0	rep_cluster_180	001222__CP008815_00027	-	-	-	-	-	-	non-mobilizable	CP042215	0.0774628	Enterococcus faecalis	AB530	AK349	genus	Enterococcus	genus	Enterococcus	-	-	-
CI-1049_plasmid00003	1	61170	0.3525420957985941	30ad4d48826dae944236c714a5e94318	rep_cluster_1027	AY855841	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP015885	0.030677	Enterococcus faecalis	AE312	AO070	genus	Enterococcus	genus	Enterococcus	-	-	-
CI-8010_plasmid00002	1	60652	0.36122469168370375	7323f1a88600d1ef417bb6643904ed7f	rep_cluster_180	001222__CP008815_00027	MOBP	CP041878_00085	-	-	-	-	mobilizable	KT290268	0.0470041	Enterococcus faecalis	AB529	AK347	genus	Enterococcus	genus	Enterococcus	-	-	-
DFI-266_plasmid00002	1	60645	0.3612663863467722	fa2f18966547970377974b450822f19b	rep_cluster_180	001222__CP008815_00027	MOBP	CP041878_00085	-	-	-	-	mobilizable	KT290268	0.0470041	Enterococcus faecalis	AB529	AK347	genus	Enterococcus	genus	Enterococcus	-	-	-
