hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
CJHMOJ_00160	CI-1104	32	311	WYL_I_II_III_IV_V_VI_4	1e-26	91.5	0.983	0.534	139	304
CJHMOJ_00160	CI-1104	32	311	WYL_I_II_III_IV_V_VI_1	3.1e-47	159.0	0.987	0.997	1	310
CJHMOJ_00600	CI-1104	120	476	DS-8__DS-8	1.1e-126	421.2	0.447	0.998	1	475
CJHMOJ_01500	CI-1104	271	216	RM_Type_II__Type_II_MTases_FAM_8	1.1e-12	45.1	0.498	0.565	87	208
CJHMOJ_01500	CI-1104	271	216	RM_Type_II__Type_II_MTases_FAM_26	4.9e-16	56.0	0.713	0.991	1	214
CJHMOJ_01500	CI-1104	271	216	RM_Type_II__Type_II_MTases_FAM_1	2.3e-42	142.8	0.85	0.986	1	213
CJHMOJ_01500	CI-1104	271	216	RM_Type_II__Type_II_MTases_FAM_3	4.8e-44	148.2	0.866	0.981	1	212
CJHMOJ_01715	CI-1104	313	381	Dnd__DndA	3.7000000000000005e-102	339.5	0.976	0.963	2	368
CJHMOJ_02250	CI-1104	419	481	DISARM__drmC	1.9e-17	61.1	0.747	0.395	258	447
CJHMOJ_02460	CI-1104	459	1337	cas9_II-C_4	8.5e-82	273.1	0.961	0.996	2	1332
CJHMOJ_02460	CI-1104	459	1337	cas9_II-A_1	1.8e-276	918.0	0.841	0.862	2	1154
CJHMOJ_02460	CI-1104	459	1337	cas9_II-A_II-B_II-C_1	2.8e-279	926.5	0.999	0.78	4	1046
CJHMOJ_02460	CI-1104	459	1337	cas9_II-A_II-B_II-C_3	0.0	1101.9	0.998	0.999	1	1335
CJHMOJ_02465	CI-1104	460	288	cas1_I_II_III_IV_V_VI_2	1.7e-23	80.6	0.946	0.781	7	231
CJHMOJ_02465	CI-1104	460	288	cas1_I_II_III_IV_V_VI_10	8.6e-27	91.4	0.866	0.778	7	230
CJHMOJ_02465	CI-1104	460	288	cas1_I_II_III_IV_V_VI_1	1.3e-48	163.1	0.795	0.806	4	235
CJHMOJ_02465	CI-1104	460	288	cas1_I_II_III_IV_V_VI_8	7e-60	200.2	0.848	0.906	1	261
CJHMOJ_02465	CI-1104	460	288	cas1_I_II_III_IV_V_VI_5	1.9e-97	323.1	0.996	0.934	3	271
CJHMOJ_02470	CI-1104	461	109	cas2_I_II_III_IV_V_VI_13	2.9e-15	53.7	1.0	0.706	6	82
CJHMOJ_02470	CI-1104	461	109	cas2_I_II_III_IV_V_VI_1	6.7e-27	91.1	0.989	0.872	6	100
CJHMOJ_02470	CI-1104	461	109	cas2_I_II_III_IV_V_VI_11	7.9e-35	116.6	1.0	0.927	6	106
CJHMOJ_02470	CI-1104	461	109	cas2_I_II_III_IV_V_VI_6	2.1000000000000003e-46	154.4	0.957	0.991	1	108
CJHMOJ_02475	CI-1104	462	219	csn2_II-A_3	2.5000000000000002e-30	103.0	0.987	0.968	1	212
CJHMOJ_02475	CI-1104	462	219	csn2_II-A_4	3.3e-107	354.5	1.0	0.995	1	218
CJHMOJ_02645	CI-1104	496	746	Dodola__DolB	2.8e-23	80.0	0.528	0.277	387	593
CJHMOJ_02710	CI-1104	509	752	Gabija__GajB_3	5.4e-17	59.4	0.663	0.382	27	313
CJHMOJ_02710	CI-1104	509	752	Gabija__GajB_1	6.499999999999999e-41	138.0	0.921	0.809	15	622
CJHMOJ_02710	CI-1104	509	752	UG35__UvrD	8.599999999999999e-103	342.3	0.53	0.576	11	443
CJHMOJ_02710	CI-1104	509	752	Gabija__GajB_2	1.8e-112	374.2	0.774	0.876	4	662
