sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
EF-W12_Hachiman_4	Hachiman	Hachiman	Defense	PEDMFB_00540	PEDMFB_00545	PEDMFB_00540,PEDMFB_00545	2	Hachiman__HamA_1,Hachiman__HamB
EF-W12_Lamassu-Cap4_nuclease_6	Lamassu-Fam	Lamassu-Cap4_nuclease	Defense	PEDMFB_01300	PEDMFB_01315	PEDMFB_01300,PEDMFB_01305,PEDMFB_01315	3	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II,Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II,Lamassu-Fam__LmuC_acc_Cap4_nuclease
EF-W12_RM_Type_IIG_12	RM	RM_Type_IIG	Defense	PEDMFB_01575	PEDMFB_01575	PEDMFB_01575	1	RM_Type_IIG__Type_IIG_2
EF-W12_PD-T4-9_8	PD-T4-9	PD-T4-9	Defense	PEDMFB_03125	PEDMFB_03135	PEDMFB_03125,PEDMFB_03135	2	PD-T4-9__PD-T4-9_A,PD-T4-9__PD-T4-9_C
EF-W12_AbiD_1	AbiD	AbiD	Defense	PEDMFB_05820	PEDMFB_05820	PEDMFB_05820	1	AbiD__AbiD
EF-W12_SpbK_11	SpbK	SpbK	Defense	PEDMFB_06145	PEDMFB_06145	PEDMFB_06145	1	SpbK__SpbK
EF-W12_AbiJ_2	AbiJ	AbiJ	Defense	PEDMFB_06505	PEDMFB_06505	PEDMFB_06505	1	AbiJ__AbiJ
EF-W12_HEC-05_3	HEC-05	HEC-05	Defense	PEDMFB_09825	PEDMFB_09825	PEDMFB_09825	1	HEC-05__HEC-05
EF-W12_SanaTA_10	SanaTA	SanaTA	Defense	PEDMFB_12160	PEDMFB_12165	PEDMFB_12160,PEDMFB_12165	2	SanaTA__SanaA,SanaTA__SanaT_1
EF-W12_Nhi_7	Nhi	Nhi	Defense	PEDMFB_13485	PEDMFB_13485	PEDMFB_13485	1	Nhi__Nhi
EF-W12_RosmerTA_9	RosmerTA	RosmerTA	Defense	PEDMFB_14750	PEDMFB_14755	PEDMFB_14750,PEDMFB_14755	2	RosmerTA__RmrA_2623274509,RosmerTA__RmrT_2677172838
