protein	length	mean_plddt	ptm
Ef-P10-208_CDS_0001_terminase_large_subunit	490	89.39	0.8
Ef-P10-208_CDS_0002_virion_structural_protein	262	80.8	0.56
Ef-P10-208_CDS_0003_hypothetical_protein	238	86.51	0.66
Ef-P10-208_CDS_0004_hypothetical_protein	114	93.11	0.84
Ef-P10-208_CDS_0005_endolysin	289	85.51	0.63
Ef-P10-208_CDS_0006_transglycosylase	212	70.37	0.48
Ef-P10-208_CDS_0007_portal_protein	114	94.38	0.86
Ef-P10-208_CDS_0008_hypothetical_protein	31	86.28	0.42
Ef-P10-208_CDS_0009_portal_protein	509	76.84	0.67
Ef-P10-208_CDS_0010_hypothetical_protein	37	79.24	0.45
Ef-P10-208_CDS_0011_head_maturation_protease	268	72.99	0.57
Ef-P10-208_CDS_0012_hypothetical_protein	308	60.83	0.27
Ef-P10-208_CDS_0013_major_head_protein	464	68.89	0.69
Ef-P10-208_CDS_0014_hypothetical_protein	87	71.21	0.48
Ef-P10-208_CDS_0015_tail_fiber_protein	299	78.38	0.76
Ef-P10-208_CDS_0016_virion_structural_protein	289	74.06	0.65
Ef-P10-208_CDS_0017_hypothetical_protein	207	84.88	0.75
Ef-P10-208_CDS_0018_hypothetical_protein	281	82.78	0.64
Ef-P10-208_CDS_0019_hypothetical_protein	77	73.98	0.52
Ef-P10-208_CDS_0020_tail_sheath	569	77.57	0.68
Ef-P10-208_CDS_0021_virion_structural_protein	140	79.7	0.67
Ef-P10-208_CDS_0022_hypothetical_protein	278	56.0	0.37
Ef-P10-208_CDS_0023_hypothetical_protein	48	94.1	0.75
Ef-P10-208_CDS_0024_tail_assembly_chaperone	157	86.56	0.68
Ef-P10-208_CDS_0025_RNA_polymerase_beta_subunit	191	75.1	0.32
Ef-P10-208_CDS_0026_tail_associated_lysin	1218	58.81	0.41
Ef-P10-208_CDS_0027_tail_protein_with_lysin_activity	1061	79.77	0.59
Ef-P10-208_CDS_0028_tail_fiber_protein	1825	74.93	0.33
Ef-P10-208_CDS_0029_tail_protein	816	89.33	0.56
Ef-P10-208_CDS_0030_tail_fiber_protein	242	89.06	0.7
Ef-P10-208_CDS_0031_hypothetical_protein	46	77.81	0.5
Ef-P10-208_CDS_0032_hypothetical_protein	234	87.25	0.75
Ef-P10-208_CDS_0033_virion_structural_protein	229	73.64	0.59
Ef-P10-208_CDS_0034_hypothetical_protein	178	87.91	0.86
Ef-P10-208_CDS_0035_baseplate_protein	234	82.99	0.59
Ef-P10-208_CDS_0036_baseplate_wedge_subunit	350	88.32	0.74
Ef-P10-208_CDS_0037_hypothetical_protein	1130	82.23	0.5
Ef-P10-208_CDS_0038_hypothetical_protein	36	83.78	0.43
Ef-P10-208_CDS_0039_virion_structural_protein	159	91.84	0.84
Ef-P10-208_CDS_0040_hypothetical_protein	1154	81.61	0.43
Ef-P10-208_CDS_0041_hypothetical_protein	68	93.09	0.56
Ef-P10-208_CDS_0042_DNA_helicase	590	89.05	0.76
Ef-P10-208_CDS_0043_HTH_DNA_binding_protein	542	86.39	0.72
Ef-P10-208_CDS_0044_DnaB-like_replicative_helicase	490	86.17	0.67
Ef-P10-208_CDS_0045_SbcD-like_subunit_of_palindrome_specific_endonuclease	351	92.4	0.82
Ef-P10-208_CDS_0046_SbcC-like_subunit_of_palindrome_specific_endonuclease	630	90.69	0.6
Ef-P10-208_CDS_0047_anti-sigma_factor	221	91.12	0.86
Ef-P10-208_CDS_0048_DNA_primase	352	88.24	0.66
Ef-P10-208_CDS_0049_hypothetical_protein	210	86.9	0.42
Ef-P10-208_CDS_0050_dUTPase	294	90.89	0.75
Ef-P10-208_CDS_0051_dUTPase	76	87.06	0.75
Ef-P10-208_CDS_0052_hypothetical_protein	102	33.55	0.18
Ef-P10-208_CDS_0053_hypothetical_protein	103	87.08	0.54
Ef-P10-208_CDS_0054_hypothetical_protein	123	87.56	0.54
Ef-P10-208_CDS_0055_RusA-like_Holliday_junction_resolvase	222	89.15	0.82
Ef-P10-208_CDS_0056_hypothetical_protein	99	90.31	0.79
Ef-P10-208_CDS_0057_hypothetical_protein	159	72.28	0.62
Ef-P10-208_CDS_0058_hypothetical_protein	264	85.96	0.8
Ef-P10-208_CDS_0059_DNA_binding_protein	103	94.39	0.74
Ef-P10-208_CDS_0060_DNA_polymerase	796	88.52	0.81
Ef-P10-208_CDS_0061_HNH_endonuclease	229	91.54	0.71
Ef-P10-208_CDS_0062_hypothetical_protein	30	56.15	0.12
Ef-P10-208_CDS_0063_hypothetical_protein	29	86.61	0.38
Ef-P10-208_CDS_0064_hypothetical_protein	34	59.49	0.27
Ef-P10-208_CDS_0065_DNA_polymerase	159	87.83	0.74
Ef-P10-208_CDS_0066_hypothetical_protein	180	87.51	0.75
Ef-P10-208_CDS_0067_single_strand_DNA_binding_protein	429	71.19	0.61
Ef-P10-208_CDS_0068_UvsX-like_recombinase	415	81.34	0.82
Ef-P10-208_CDS_0069_hypothetical_protein	104	86.33	0.77
Ef-P10-208_CDS_0070_RNA_polymerase_sigma_factor	204	76.32	0.47
Ef-P10-208_CDS_0071_holin	91	85.0	0.51
Ef-P10-208_CDS_0072_structural_protein_with_Ig_domain	320	90.79	0.74
Ef-P10-208_CDS_0073_Ig_domain_containing_protein	147	86.8	0.85
Ef-P10-208_CDS_0074_hypothetical_protein	30	82.71	0.32
Ef-P10-208_CDS_0075_hypothetical_protein	98	67.04	0.53
Ef-P10-208_CDS_0076_exopolyphosphatase	317	89.0	0.84
Ef-P10-208_CDS_0077_exonuclease	427	87.19	0.7
Ef-P10-208_CDS_0078_hypothetical_protein	124	90.16	0.75
Ef-P10-208_CDS_0079_hypothetical_protein	206	83.23	0.8
Ef-P10-208_CDS_0080_hypothetical_protein	246	84.46	0.83
Ef-P10-208_CDS_0081_hypothetical_protein	168	79.28	0.63
Ef-P10-208_CDS_0082_hypothetical_protein	116	90.91	0.82
Ef-P10-208_CDS_0083_hypothetical_protein	285	88.96	0.87
Ef-P10-208_CDS_0084_hypothetical_protein	281	89.52	0.88
Ef-P10-208_CDS_0085_hypothetical_protein	545	89.64	0.82
Ef-P10-208_CDS_0086_hypothetical_protein	67	66.45	0.3
Ef-P10-208_CDS_0087_hypothetical_protein	229	76.77	0.4
Ef-P10-208_CDS_0088_virion_structural_protein	155	87.84	0.8
Ef-P10-208_CDS_0089_hypothetical_protein	758	52.98	0.43
Ef-P10-208_CDS_0090_hypothetical_protein	55	68.58	0.34
Ef-P10-208_CDS_0091_hypothetical_protein	168	48.53	0.25
Ef-P10-208_CDS_0092_hypothetical_protein	56	88.96	0.6
Ef-P10-208_CDS_0093_hypothetical_protein	90	59.28	0.37
Ef-P10-208_CDS_0094_transcriptional_repressor	83	90.72	0.79
Ef-P10-208_CDS_0095_hypothetical_protein	95	86.03	0.71
Ef-P10-208_CDS_0096_hypothetical_protein	262	84.43	0.86
Ef-P10-208_CDS_0097_hypothetical_protein	357	51.0	0.36
Ef-P10-208_CDS_0098_hypothetical_protein	100	93.11	0.86
Ef-P10-208_CDS_0099_hypothetical_protein	100	89.54	0.78
Ef-P10-208_CDS_0100_hypothetical_protein	97	82.95	0.62
Ef-P10-208_CDS_0101_hypothetical_protein	59	92.9	0.6
Ef-P10-208_CDS_0102_hypothetical_protein	117	93.43	0.81
Ef-P10-208_CDS_0103_hypothetical_protein	125	61.08	0.31
Ef-P10-208_CDS_0104_hypothetical_protein	76	87.97	0.65
Ef-P10-208_CDS_0105_hypothetical_protein	124	89.65	0.58
Ef-P10-208_CDS_0106_hypothetical_protein	80	67.17	0.46
Ef-P10-208_CDS_0107_hypothetical_protein	62	93.36	0.74
Ef-P10-208_CDS_0108_hypothetical_protein	187	81.43	0.36
Ef-P10-208_CDS_0109_hypothetical_protein	280	83.66	0.55
Ef-P10-208_CDS_0110_hypothetical_protein	209	56.27	0.4
Ef-P10-208_CDS_0111_hypothetical_protein	80	69.62	0.54
Ef-P10-208_CDS_0112_hypothetical_protein	47	67.72	0.35
Ef-P10-208_CDS_0113_hypothetical_protein	64	74.09	0.44
Ef-P10-208_CDS_0114_hypothetical_protein	213	61.1	0.4
Ef-P10-208_CDS_0115_hypothetical_protein	147	51.51	0.41
Ef-P10-208_CDS_0116_hypothetical_protein	143	41.4	0.31
Ef-P10-208_CDS_0117_hypothetical_protein	29	71.08	0.28
Ef-P10-208_CDS_0118_hypothetical_protein	99	79.03	0.7
Ef-P10-208_CDS_0119_hypothetical_protein	96	75.03	0.6
Ef-P10-208_CDS_0120_hypothetical_protein	107	87.88	0.77
Ef-P10-208_CDS_0121_hypothetical_protein	46	94.56	0.6
Ef-P10-208_CDS_0122_hypothetical_protein	88	91.66	0.77
Ef-P10-208_CDS_0123_hypothetical_protein	75	96.72	0.83
Ef-P10-208_CDS_0124_hypothetical_protein	99	88.33	0.78
Ef-P10-208_CDS_0125_hypothetical_protein	68	72.93	0.43
Ef-P10-208_CDS_0126_hypothetical_protein	81	96.07	0.86
Ef-P10-208_CDS_0127_hypothetical_protein	68	91.59	0.76
Ef-P10-208_CDS_0128_hypothetical_protein	56	86.78	0.66
Ef-P10-208_CDS_0129_hypothetical_protein	101	49.22	0.32
Ef-P10-208_CDS_0130_hypothetical_protein	144	93.85	0.87
Ef-P10-208_CDS_0131_hypothetical_protein	89	74.18	0.57
Ef-P10-208_CDS_0132_hypothetical_protein	70	77.68	0.62
Ef-P10-208_CDS_0133_hypothetical_protein	101	70.35	0.33
Ef-P10-208_CDS_0134_hypothetical_protein	63	90.38	0.64
Ef-P10-208_CDS_0135_hypothetical_protein	119	71.63	0.62
Ef-P10-208_CDS_0136_hypothetical_protein	33	89.02	0.46
Ef-P10-208_CDS_0137_hypothetical_protein	40	77.71	0.4
Ef-P10-208_CDS_0138_hypothetical_protein	75	93.25	0.8
Ef-P10-208_CDS_0139_hypothetical_protein	90	61.32	0.51
Ef-P10-208_CDS_0140_hypothetical_protein	103	91.83	0.85
Ef-P10-208_CDS_0141_hypothetical_protein	52	85.77	0.62
Ef-P10-208_CDS_0142_hypothetical_protein	79	81.43	0.68
Ef-P10-208_CDS_0143_hypothetical_protein	231	90.48	0.87
Ef-P10-208_CDS_0144_hypothetical_protein	47	61.67	0.3
Ef-P10-208_CDS_0145_hypothetical_protein	88	74.37	0.68
Ef-P10-208_CDS_0146_hypothetical_protein	32	71.79	0.3
Ef-P10-208_CDS_0147_hypothetical_protein	47	91.25	0.68
Ef-P10-208_CDS_0148_hypothetical_protein	55	70.05	0.34
Ef-P10-208_CDS_0149_hypothetical_protein	75	41.56	0.28
Ef-P10-208_CDS_0150_hypothetical_protein	90	70.21	0.44
Ef-P10-208_CDS_0151_hypothetical_protein	106	66.23	0.53
Ef-P10-208_CDS_0152_membrane_protein	103	90.57	0.75
Ef-P10-208_CDS_0153_hypothetical_protein	82	72.1	0.45
Ef-P10-208_CDS_0154_hypothetical_protein	46	72.48	0.42
Ef-P10-208_CDS_0155_hypothetical_protein	32	79.71	0.35
Ef-P10-208_CDS_0156_hypothetical_protein	63	57.12	0.36
Ef-P10-208_CDS_0157_hypothetical_protein	74	76.49	0.61
Ef-P10-208_CDS_0158_hypothetical_protein	83	77.05	0.68
Ef-P10-208_CDS_0159_hypothetical_protein	126	89.17	0.78
Ef-P10-208_CDS_0160_hypothetical_protein	52	92.38	0.61
Ef-P10-208_CDS_0161_hypothetical_protein	65	50.99	0.34
Ef-P10-208_CDS_0162_hypothetical_protein	171	91.64	0.69
Ef-P10-208_CDS_0163_hypothetical_protein	82	80.4	0.62
Ef-P10-208_CDS_0164_hypothetical_protein	174	90.59	0.62
Ef-P10-208_CDS_0165_hypothetical_protein	130	91.6	0.64
Ef-P10-208_CDS_0166_hypothetical_protein	119	90.05	0.7
Ef-P10-208_CDS_0167_hypothetical_protein	56	92.71	0.68
Ef-P10-208_CDS_0168_hypothetical_protein	180	80.01	0.56
Ef-P10-208_CDS_0169_hypothetical_protein	154	72.83	0.55
Ef-P10-208_CDS_0170_hypothetical_protein	156	47.18	0.36
Ef-P10-208_CDS_0171_hypothetical_protein	30	63.15	0.11
Ef-P10-208_CDS_0172_hypothetical_protein	121	88.73	0.85
Ef-P10-208_CDS_0173_hypothetical_protein	60	65.56	0.3
Ef-P10-208_CDS_0174_hypothetical_protein	172	96.06	0.91
Ef-P10-208_CDS_0175_hypothetical_protein	157	39.49	0.23
Ef-P10-208_CDS_0176_minor_head_protein	235	89.09	0.69
Ef-P10-208_CDS_0177_replication_initiation_protein	146	85.25	0.79
Ef-P10-208_CDS_0178_hypothetical_protein	62	86.31	0.51
