Gene,Non-unique Gene name,Annotation,CI-1049,CI-1104,CI-8010,CI-8050,DFI-250,DFI-266,EF-W12,EF-W2,EF-W3,EF-W4,EF-W5,EF-W6,EF-W8
aroA,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,FHNNJA_07555,CJHMOJ_06860,HCJMML_07300,LIMHLO_06145,JEILEN_07575,JBIPMC_07375,PEDMFB_07900,PMCJLP_07030,MIJGKE_07905,JCNBHB_07905,CGGMPE_07900,LOEDCI_07220,FNCLAJ_07025
dppA,dppA,D-aminopeptidase,FHNNJA_03495,CJHMOJ_11100,HCJMML_12265,LIMHLO_09725,JEILEN_12440,JBIPMC_12370,PEDMFB_03505,PMCJLP_10945,MIJGKE_03505,JCNBHB_03505,CGGMPE_03505,LOEDCI_12275,FNCLAJ_11220
group_3342,oppA,ABC-type oligopeptide transport system periplasmic component,FHNNJA_03485,CJHMOJ_11110,HCJMML_12275,LIMHLO_09735,JEILEN_12450,JBIPMC_12380,PEDMFB_03495,PMCJLP_10955,MIJGKE_03495,JCNBHB_03495,CGGMPE_03495,LOEDCI_12285,FNCLAJ_11230
group_3341,nagB,glucosamine-6-phosphate deaminase,FHNNJA_13120,CJHMOJ_02070,HCJMML_01865,LIMHLO_01715,JEILEN_01960,JBIPMC_01880,PEDMFB_13895,PMCJLP_01810,MIJGKE_13830,JCNBHB_13835,CGGMPE_13535,LOEDCI_02085,FNCLAJ_01810
group_3340,,Zinc ribbon domain-containing protein,FHNNJA_07765,CJHMOJ_06655,HCJMML_07095,LIMHLO_05940,JEILEN_07370,JBIPMC_07170,PEDMFB_08110,PMCJLP_06825,MIJGKE_08115,JCNBHB_08115,CGGMPE_08110,LOEDCI_07015,FNCLAJ_06820
group_3339,accB;,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,FHNNJA_14040,CJHMOJ_14230,HCJMML_14830,LIMHLO_12360,JEILEN_15220,JBIPMC_14930,PEDMFB_15140,PMCJLP_14140,MIJGKE_15075,JCNBHB_15080,CGGMPE_14780,LOEDCI_14825,FNCLAJ_14410
group_3338,,Sodium pump decarboxylase gamma subunit,FHNNJA_14030,CJHMOJ_14220,HCJMML_14820,LIMHLO_12350,JEILEN_15210,JBIPMC_14920,PEDMFB_15130,PMCJLP_14130,MIJGKE_15065,JCNBHB_15070,CGGMPE_14770,LOEDCI_14815,FNCLAJ_14400
mutY,mutY,A/G-specific adenine glycosylase,FHNNJA_03565,CJHMOJ_11025,HCJMML_12195,LIMHLO_09650,JEILEN_12075,JBIPMC_12300,PEDMFB_03575,PMCJLP_10870,MIJGKE_03575,JCNBHB_03575,CGGMPE_03575,LOEDCI_12205,FNCLAJ_11145
group_3337,,SCP domain-containing protein,FHNNJA_13380,CJHMOJ_01820,HCJMML_01670,LIMHLO_01510,JEILEN_01705,JBIPMC_01685,PEDMFB_14155,PMCJLP_01560,MIJGKE_14090,JCNBHB_14095,CGGMPE_13795,LOEDCI_01815,FNCLAJ_01560
group_3336,perM,putative PurR-regulated permease PerM,FHNNJA_13370,CJHMOJ_01830,HCJMML_01680,LIMHLO_01520,JEILEN_01715,JBIPMC_01695,PEDMFB_14145,PMCJLP_01570,MIJGKE_14080,JCNBHB_14085,CGGMPE_13785,LOEDCI_01825,FNCLAJ_01570
group_3335,,DUF3298 domain-containing protein,FHNNJA_01790,CJHMOJ_13545,HCJMML_14185,LIMHLO_11675,JEILEN_14530,JBIPMC_14290,PEDMFB_14350,PMCJLP_13365,MIJGKE_14285,JCNBHB_14290,CGGMPE_13990,LOEDCI_14090,FNCLAJ_13635
elaA,elaA,putative N-acyltransferase GNAT family,FHNNJA_12015,CJHMOJ_02605,HCJMML_03205,LIMHLO_02195,JEILEN_03210,JBIPMC_03245,PEDMFB_12385,PMCJLP_02990,MIJGKE_12385,JCNBHB_12395,CGGMPE_12095,LOEDCI_03220,FNCLAJ_02995
group_3334,ygcG,Uncharacterized membrane protein YgcG contains a TPM-fold domain,FHNNJA_04385,CJHMOJ_10190,HCJMML_11060,LIMHLO_08870,JEILEN_11210,JBIPMC_11160,PEDMFB_04480,PMCJLP_10025,MIJGKE_04485,JCNBHB_04480,CGGMPE_04480,LOEDCI_11350,FNCLAJ_10295
dadA,dadA,Oxidoreductase DadA family,FHNNJA_13295,CJHMOJ_01905,HCJMML_01755,LIMHLO_01595,JEILEN_01795,JBIPMC_01770,PEDMFB_14070,PMCJLP_01645,MIJGKE_14005,JCNBHB_14010,CGGMPE_13710,LOEDCI_01915,FNCLAJ_01645
group_3332,,putative protein,FHNNJA_11100,CJHMOJ_03600,HCJMML_04110,LIMHLO_03120,JEILEN_04090,JBIPMC_04155,PEDMFB_11240,PMCJLP_03905,MIJGKE_11240,JCNBHB_11250,CGGMPE_10950,LOEDCI_04085,FNCLAJ_03910
group_3331,rimI,Ribosomal protein S18 acetylase RimI and related acetyltransferases,FHNNJA_09755,CJHMOJ_04630,HCJMML_05210,LIMHLO_04140,JEILEN_05210,JBIPMC_05265,PEDMFB_09935,PMCJLP_04920,MIJGKE_09940,JCNBHB_09945,CGGMPE_09940,LOEDCI_05125,FNCLAJ_04925
group_3330,galM,galactose-1-epimerase,FHNNJA_09800,CJHMOJ_04590,HCJMML_05170,LIMHLO_04100,JEILEN_05170,JBIPMC_05225,PEDMFB_09980,PMCJLP_04880,MIJGKE_09985,JCNBHB_09990,CGGMPE_09985,LOEDCI_05080,FNCLAJ_04885
gpsB,gpsB,cell division regulator GpsB,FHNNJA_09390,CJHMOJ_05120,HCJMML_05590,LIMHLO_04495,JEILEN_05825,JBIPMC_05640,PEDMFB_09565,PMCJLP_05285,MIJGKE_09570,JCNBHB_09575,CGGMPE_09570,LOEDCI_05485,FNCLAJ_05290
