replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
CI-1049	FHNNJA_00610	DS-8__DS-8	122	defense-finder-models/DefenseFinder/DS-8/DS-8	CI-1049_DS-8_3	1	1	1.0	1.0	1	DS-8__DS-8	mandatory	675	1.7999999999999997e-189	629.0	0.64	0.997	2	674			DS-8	DS-8	Defense
CI-1049	FHNNJA_00620	Gabija__GajA	124	defense-finder-models/DefenseFinder/Gabija/Gabija	CI-1049_Gabija_4	1	1	1.0	2.0	1	Gabija__GajA	mandatory	729	9.9e-167	553.8	0.997	0.901	1	657			Gabija	Gabija	Defense
CI-1049	FHNNJA_00625	Gabija__GajB_2	125	defense-finder-models/DefenseFinder/Gabija/Gabija	CI-1049_Gabija_4	1	1	1.0	2.0	1	Gabija__GajB_1	mandatory	597	6.5e-79	263.4	0.744	0.953	11	579			Gabija	Gabija	Defense
CI-1049	FHNNJA_00665	AbiJ__AbiJ	133	defense-finder-models/DefenseFinder/AbiJ/AbiJ	CI-1049_AbiJ_2	1	1	1.0	1.0	1	AbiJ__AbiJ	mandatory	253	4.1e-07	27.0	0.417	0.494	122	246			AbiJ	AbiJ	Defense
CI-1049	FHNNJA_01350	RosmerTA__RmrT_2677172838	258	defense-finder-models/DefenseFinder/RosmerTA/RosmerTA	CI-1049_RosmerTA_6	1	1	1.0	2.0	1	RosmerTA__RmrT_2585209417	mandatory	221	7.2e-23	78.5	0.789	0.81	3	181			RosmerTA	RosmerTA	Defense
CI-1049	FHNNJA_01355	RosmerTA__RmrA_2623274509	259	defense-finder-models/DefenseFinder/RosmerTA/RosmerTA	CI-1049_RosmerTA_6	1	1	1.0	2.0	1	RosmerTA__RmrA_2585209417	mandatory	379	6.3e-110	364.8	0.93	0.939	6	361			RosmerTA	RosmerTA	Defense
CI-1049	FHNNJA_05975	SpbK__SpbK	1157	defense-finder-models/DefenseFinder/SpbK/SpbK	CI-1049_SpbK_7	1	1	1.0	1.0	1	SpbK__SpbK	mandatory	274	1e-47	160.7	0.45	0.617	3	171			SpbK	SpbK	Defense
CI-1049	FHNNJA_12145	csn2_II-A_4	2356	CasFinder/CAS_Class2-Subtype-II-A	CI-1049_CAS_Class2-Subtype-II-A_8	1	1	1.0	4.0	1	csn2_II-A_4	mandatory	219	3.3e-107	354.5	1.0	0.995	1	218		CI-1049_CAS_Class2-Type-II_9,CI-1049_CAS_Cluster_10	Cas	CAS_Class2-Subtype-II-A	Defense
CI-1049	FHNNJA_12150	cas2_I_II_III_IV_V_VI_6	2357	CasFinder/CAS_Class2-Subtype-II-A	CI-1049_CAS_Class2-Subtype-II-A_8	1	1	1.0	4.0	1	cas2_I_II_III_IV_V_VI_6	accessory	109	1.5e-46	154.9	0.957	0.991	1	108		CI-1049_CAS_Class2-Type-II_9,CI-1049_CAS_Cluster_10	Cas	CAS_Class2-Subtype-II-A	Defense
CI-1049	FHNNJA_12155	cas1_I_II_III_IV_V_VI_5	2358	CasFinder/CAS_Class2-Subtype-II-A	CI-1049_CAS_Class2-Subtype-II-A_8	1	1	1.0	4.0	1	cas1_I_II_III_IV_V_VI_5	accessory	288	1.9e-97	323.1	0.996	0.934	3	271		CI-1049_CAS_Class2-Type-II_9,CI-1049_CAS_Cluster_10	Cas	CAS_Class2-Subtype-II-A	Defense
CI-1049	FHNNJA_12160	cas9_II-A_II-B_II-C_3	2359	CasFinder/CAS_Class2-Subtype-II-A	CI-1049_CAS_Class2-Subtype-II-A_8	1	1	1.0	4.0	1	cas9_II-A_II-B_II-C_3	accessory	1337	0.0	1103.7	0.998	0.999	1	1335		CI-1049_CAS_Class2-Type-II_9,CI-1049_CAS_Cluster_10	Cas	CAS_Class2-Subtype-II-A	Defense
CI-1049	FHNNJA_14650	Hna__Hna	2820	defense-finder-models/DefenseFinder/Hna/Hna	CI-1049_Hna_5	1	1	1.0	1.0	1	Hna__Hna	mandatory	841	1.1e-258	858.2	0.98	0.992	5	838			Hna	Hna	Defense
CI-1049	FHNNJA_15095	AbiI__AbiI	2903	defense-finder-models/DefenseFinder/AbiI/AbiI	CI-1049_AbiI_1	1	1	1.0	1.0	1	AbiI__AbiI	mandatory	338	3.8999999999999997e-177	586.2	0.994	0.991	4	338			AbiI	AbiI	Defense
