replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
EF-W8	FNCLAJ_02850	cas9_II-A_II-B_II-C_3	539	CasFinder/CAS_Class2-Subtype-II-A	EF-W8_CAS_Class2-Subtype-II-A_8	1	1	1.0	4.0	1	cas9_II-A_II-B_II-C_3	accessory	1337	0.0	1102.3	0.998	0.999	1	1335		EF-W8_CAS_Class2-Type-II_9,EF-W8_CAS_Cluster_10	Cas	CAS_Class2-Subtype-II-A	Defense
EF-W8	FNCLAJ_02855	cas1_I_II_III_IV_V_VI_5	540	CasFinder/CAS_Class2-Subtype-II-A	EF-W8_CAS_Class2-Subtype-II-A_8	1	1	1.0	4.0	1	cas1_I_II_III_IV_V_VI_5	accessory	288	1.9e-97	323.1	0.996	0.934	3	271		EF-W8_CAS_Class2-Type-II_9,EF-W8_CAS_Cluster_10	Cas	CAS_Class2-Subtype-II-A	Defense
EF-W8	FNCLAJ_02860	cas2_I_II_III_IV_V_VI_6	541	CasFinder/CAS_Class2-Subtype-II-A	EF-W8_CAS_Class2-Subtype-II-A_8	1	1	1.0	4.0	1	cas2_I_II_III_IV_V_VI_6	accessory	109	1.4e-46	154.9	0.957	0.991	1	108		EF-W8_CAS_Class2-Type-II_9,EF-W8_CAS_Cluster_10	Cas	CAS_Class2-Subtype-II-A	Defense
EF-W8	FNCLAJ_02865	csn2_II-A_4	542	CasFinder/CAS_Class2-Subtype-II-A	EF-W8_CAS_Class2-Subtype-II-A_8	1	1	1.0	4.0	1	csn2_II-A_4	mandatory	219	3.3e-107	354.5	1.0	0.995	1	218		EF-W8_CAS_Class2-Type-II_9,EF-W8_CAS_Cluster_10	Cas	CAS_Class2-Subtype-II-A	Defense
EF-W8	FNCLAJ_08625	SpbK__SpbK	1661	defense-finder-models/DefenseFinder/SpbK/SpbK	EF-W8_SpbK_5	1	1	1.0	1.0	1	SpbK__SpbK	mandatory	274	9.2e-48	160.9	0.448	0.613	3	170			SpbK	SpbK	Defense
EF-W8	FNCLAJ_09855	AbiU__AbiU	1901	defense-finder-models/DefenseFinder/AbiU/AbiU	EF-W8_AbiU_1	1	1	1.0	1.0	1	AbiU__AbiU	mandatory	411	1.4e-37	127.0	0.683	0.959	16	409			AbiU	AbiU	Defense
EF-W8	FNCLAJ_09860	Mokosh_type_I__MkoB_B	1902	defense-finder-models/DefenseFinder/Mokosh/Mokosh_Type_I_B	EF-W8_Mokosh_Type_I_B_3	1	1	1.0	2.0	1	Mokosh_type_I__MkoB_B	mandatory	582	1e-57	193.2	0.965	0.732	5	430		EF-W8_Mokosh_Type_I_2	Mokosh	Mokosh_Type_I_B	Defense
EF-W8	FNCLAJ_09870	Mokosh_type_I__MkoA_B	1904	defense-finder-models/DefenseFinder/Mokosh/Mokosh_Type_I_B	EF-W8_Mokosh_Type_I_B_3	1	1	1.0	2.0	1	Mokosh_type_I__MkoA_B	mandatory	806	6.4e-155	515.2	0.611	0.854	7	694		EF-W8_Mokosh_Type_I_2	Mokosh	Mokosh_Type_I_B	Defense
EF-W8	FNCLAJ_12510	RM__Type_I_REases_FAM_0.einsi_trimmed	2423	defense-finder-models/RM/RM/RM_Type_I	EF-W8_RM_Type_I_7	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1047	4.0999999999999996e-181	602.1	0.838	0.909	5	956		EF-W8_PrrC_6	RM	RM_Type_I	Defense
EF-W8	FNCLAJ_12515	RM__Type_I_S_51	2424	defense-finder-models/RM/RM/RM_Type_I	EF-W8_RM_Type_I_7	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	389	5.3e-37	124.7	0.802	0.979	8	388		EF-W8_PrrC_6	RM	RM_Type_I	Defense
EF-W8	FNCLAJ_12525	RM__Type_I_S_51	2426	defense-finder-models/RM/RM/RM_Type_I	EF-W8_RM_Type_I_7	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	403	5.2999999999999994e-46	154.4	0.544	0.638	146	402		EF-W8_PrrC_6	RM	RM_Type_I	Defense
EF-W8	FNCLAJ_12530	RM__Type_I_MTases_FAM_0	2427	defense-finder-models/RM/RM/RM_Type_I	EF-W8_RM_Type_I_7	1	1	1.0	3.0	1	RM__Type_I_MTases_FAM_0	mandatory	303	2.9e-110	367.0	0.584	0.944	1	286		EF-W8_PrrC_6	RM	RM_Type_I	Defense
EF-W8	FNCLAJ_14020	RosmerTA__RmrA_2623274509	2716	defense-finder-models/DefenseFinder/RosmerTA/RosmerTA	EF-W8_RosmerTA_4	1	1	1.0	2.0	1	RosmerTA__RmrA_2585209417	mandatory	379	6.2e-110	364.8	0.93	0.939	6	361			RosmerTA	RosmerTA	Defense
EF-W8	FNCLAJ_14025	RosmerTA__RmrT_2677172838	2717	defense-finder-models/DefenseFinder/RosmerTA/RosmerTA	EF-W8_RosmerTA_4	1	1	1.0	2.0	1	RosmerTA__RmrT_2585209417	mandatory	221	7.1e-23	78.5	0.789	0.81	3	181			RosmerTA	RosmerTA	Defense
